
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 255]                  | 153268     | Uniform         | 
1    | [256, 511]                | 153570     | Uniform         | 
2    | [512, 767]                | 153805     | Uniform         | 
3    | [768, 1023]               | 153996     | Uniform         | 
4    | [1024, 1279]              | 153327     | Uniform         | 
5    | [1280, 1535]              | 154123     | Uniform         | 
6    | [1536, 1791]              | 153422     | Uniform         | 
7    | [1792, 2047]              | 153754     | Uniform         | 
8    | [2048, 2303]              | 153376     | Uniform         | 
9    | [2304, 2559]              | 153633     | Uniform         | 
10   | [2560, 2815]              | 153896     | Uniform         | 
11   | [2816, 3071]              | 153284     | Uniform         | 
12   | [3072, 3327]              | 153473     | Uniform         | 
13   | [3328, 3583]              | 153597     | Uniform         | 
14   | [3584, 3839]              | 153085     | Uniform         | 
15   | [3840, 4095]              | 153281     | Uniform         | 
16   | [4096, 4351]              | 153271     | Uniform         | 
17   | [4352, 4607]              | 153696     | Uniform         | 
18   | [4608, 4863]              | 153440     | Uniform         | 
19   | [4864, 5119]              | 153898     | Uniform         | 
20   | [5120, 5375]              | 153535     | Uniform         | 
21   | [5376, 5631]              | 153667     | Uniform         | 
22   | [5632, 5887]              | 154292     | Uniform         | 
23   | [5888, 6143]              | 154097     | Uniform         | 
24   | [6144, 6399]              | 153001     | Uniform         | 
25   | [6400, 6655]              | 153254     | Uniform         | 
26   | [6656, 6911]              | 153398     | Uniform         | 
27   | [6912, 7167]              | 153721     | Uniform         | 
28   | [7168, 7423]              | 154070     | Uniform         | 
29   | [7424, 7679]              | 153722     | Uniform         | 
30   | [7680, 7935]              | 153581     | Uniform         | 
31   | [7936, 8191]              | 154030     | Uniform         | 
32   | [8192, 8447]              | 153951     | Uniform         | 
33   | [8448, 8703]              | 153520     | Uniform         | 
34   | [8704, 8959]              | 153883     | Uniform         | 
35   | [8960, 9215]              | 154247     | Uniform         | 
36   | [9216, 9471]              | 153594     | Uniform         | 
37   | [9472, 9727]              | 153175     | Uniform         | 
38   | [9728, 9983]              | 153282     | Uniform         | 
39   | [9984, 10239]             | 153470     | Uniform         | 
40   | [10240, 10495]            | 153170     | Uniform         | 
41   | [10496, 10751]            | 154301     | Uniform         | 
42   | [10752, 11007]            | 153216     | Uniform         | 
43   | [11008, 11263]            | 153397     | Uniform         | 
44   | [11264, 11519]            | 153610     | Uniform         | 
45   | [11520, 11775]            | 153968     | Uniform         | 
46   | [11776, 12031]            | 153748     | Uniform         | 
47   | [12032, 12287]            | 153184     | Uniform         | 
48   | [12288, 12543]            | 153256     | Uniform         | 
49   | [12544, 12799]            | 153672     | Uniform         | 
50   | [12800, 13055]            | 153703     | Uniform         | 
51   | [13056, 13311]            | 154000     | Uniform         | 
52   | [13312, 13567]            | 153920     | Uniform         | 
53   | [13568, 13823]            | 153737     | Uniform         | 
54   | [13824, 14079]            | 153799     | Uniform         | 
55   | [14080, 14335]            | 153347     | Uniform         | 
56   | [14336, 14591]            | 154352     | Uniform         | 
57   | [14592, 14847]            | 153430     | Uniform         | 
58   | [14848, 15103]            | 153636     | Uniform         | 
59   | [15104, 15359]            | 153955     | Uniform         | 
