
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 149]                  | 32721852   | Fourier MLP     | Complex Neural Net
1    | [150, 299]                | 637068     | Fourier MLP     | Complex Neural Net
2    | [300, 449]                | 283183     | Fourier MLP     | Complex Neural Net
3    | [450, 599]                | 168828     | Fourier MLP     | Complex Neural Net
4    | [600, 749]                | 114908     | Fourier MLP     | Complex Neural Net
5    | [750, 899]                | 85248      | Fourier MLP     | Complex Neural Net
6    | [900, 1049]               | 2928871    | Fourier MLP     | Complex Neural Net
7    | [1050, 1199]              | 173839     | Fourier MLP     | Complex Neural Net
8    | [1200, 1349]              | 42840      | Fourier MLP     | Complex Neural Net
9    | [1350, 1499]              | 21488      | Fourier MLP     | Complex Neural Net
10   | [1500, 1649]              | 13582      | Fourier MLP     | Complex Neural Net
11   | [1650, 1799]              | 9767       | Uniform         | 
12   | [1800, 1949]              | 7253       | Uniform         | 
13   | [1950, 2099]              | 1747254    | Fourier MLP     | Complex Neural Net
14   | [2100, 2249]              | 52716      | Fourier MLP     | Complex Neural Net
15   | [2250, 2399]              | 19099      | Fourier MLP     | Complex Neural Net
16   | [2400, 2549]              | 10601      | Fourier MLP     | Complex Neural Net
17   | [2550, 2699]              | 6956       | Uniform         | 
18   | [2700, 2849]              | 4974       | Fourier MLP     | Complex Neural Net
19   | [2850, 2999]              | 3985       | Fourier MLP     | Complex Neural Net
20   | [3000, 3149]              | 1258366    | Fourier MLP     | Complex Neural Net
21   | [3150, 3299]              | 24362      | Fourier MLP     | Complex Neural Net
22   | [3300, 3449]              | 10961      | Fourier MLP     | Complex Neural Net
23   | [3450, 3599]              | 6395       | Fourier MLP     | Complex Neural Net
24   | [3600, 3749]              | 4314       | Fourier MLP     | Complex Neural Net
25   | [3750, 3899]              | 3309       | Uniform         | 
26   | [3900, 4049]              | 929167     | Fourier MLP     | Complex Neural Net
27   | [4050, 4199]              | 55861      | Fourier MLP     | Complex Neural Net
28   | [4200, 4349]              | 13466      | Fourier MLP     | Complex Neural Net
29   | [4350, 4499]              | 7080       | Fourier MLP     | Complex Neural Net
30   | [4500, 4649]              | 4412       | Fourier MLP     | Complex Neural Net
31   | [4650, 4799]              | 3119       | Fourier MLP     | Complex Neural Net
32   | [4800, 4949]              | 2338       | Uniform         | 
33   | [4950, 5099]              | 784903     | Fourier MLP     | Complex Neural Net
34   | [5100, 5249]              | 23777      | Fourier MLP     | Complex Neural Net
