
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 1145]                 | 76800      | Fourier MLP     | Complex Neural Net
1    | [1146, 2291]              | 600        | Fourier MLP     | Complex Neural Net
2    | [2292, 3437]              | 1200       | Fourier MLP     | Complex Neural Net
3    | [3438, 4583]              | 1200       | Fourier MLP     | Complex Neural Net
4    | [4584, 5729]              | 1800       | Fourier MLP     | Complex Neural Net
5    | [5730, 6875]              | 1800       | Fourier MLP     | Complex Neural Net
6    | [6876, 8021]              | 1200       | Fourier MLP     | Complex Neural Net
7    | [8022, 9167]              | 1800       | Fourier MLP     | Complex Neural Net
8    | [9168, 10313]             | 2400       | Fourier MLP     | Complex Neural Net
9    | [10314, 11459]            | 2400       | Fourier MLP     | Complex Neural Net
10   | [11460, 12605]            | 7200       | Fourier MLP     | Complex Neural Net
11   | [12606, 13751]            | 3000       | Fourier MLP     | Complex Neural Net
12   | [13752, 14897]            | 4200       | Fourier MLP     | Complex Neural Net
13   | [14898, 16043]            | 1800       | Fourier MLP     | Complex Neural Net
14   | [16044, 17189]            | 1800       | Fourier MLP     | Complex Neural Net
15   | [17190, 18335]            | 4800       | Uniform         | 
16   | [18336, 19481]            | 1800       | Fourier MLP     | Complex Neural Net
17   | [19482, 20627]            | 3600       | Fourier MLP     | Complex Neural Net
18   | [20628, 21773]            | 1800       | Fourier MLP     | Complex Neural Net
19   | [21774, 22919]            | 1800       | Fourier MLP     | Complex Neural Net
20   | [22920, 24065]            | 3000       | Fourier MLP     | Complex Neural Net
21   | [24066, 25211]            | 2400       | Fourier MLP     | Complex Neural Net
22   | [25212, 26357]            | 3600       | Fourier MLP     | Complex Neural Net
23   | [26358, 27503]            | 4800       | Fourier MLP     | Complex Neural Net
24   | [27504, 28649]            | 3600       | Fourier MLP     | Complex Neural Net
25   | [28650, 29795]            | 1200       | Fourier MLP     | Complex Neural Net
26   | [29796, 30941]            | 2400       | Fourier MLP     | Complex Neural Net
27   | [30942, 32087]            | 1200       | Fourier MLP     | Complex Neural Net
28   | [32088, 33233]            | 1800       | Fourier MLP     | Complex Neural Net
29   | [33234, 34379]            | 3600       | Fourier MLP     | Complex Neural Net
30   | [34380, 35525]            | 4200       | Fourier MLP     | Complex Neural Net
31   | [35526, 36671]            | 2400       | Fourier MLP     | Complex Neural Net
32   | [36672, 37817]            | 4200       | Fourier MLP     | Complex Neural Net
33   | [37818, 38963]            | 3000       | Fourier MLP     | Complex Neural Net
34   | [38964, 40109]            | 3000       | Fourier MLP     | Complex Neural Net
35   | [40110, 41255]            | 2400       | Fourier MLP     | Complex Neural Net
36   | [41256, 42401]            | 1200       | Uniform         | 
37   | [42402, 43547]            | 6000       | Fourier MLP     | Complex Neural Net
38   | [43548, 44693]            | 2400       | Fourier MLP     | Complex Neural Net
39   | [44694, 45839]            | 4200       | Fourier MLP     | Complex Neural Net
40   | [45840, 46985]            | 3600       | Fourier MLP     | Complex Neural Net
41   | [46986, 48131]            | 4200       | Fourier MLP     | Complex Neural Net
42   | [48132, 49277]            | 5400       | Fourier MLP     | Complex Neural Net
43   | [49278, 50423]            | 7800       | Fourier MLP     | Complex Neural Net
44   | [50424, 51569]            | 6000       | Fourier MLP     | Complex Neural Net
45   | [51570, 52715]            | 3600       | Fourier MLP     | Complex Neural Net
46   | [52716, 53861]            | 2400       | Fourier MLP     | Complex Neural Net
47   | [53862, 55007]            | 2400       | Fourier MLP     | Complex Neural Net
48   | [55008, 56153]            | 4200       | Fourier MLP     | Complex Neural Net
49   | [56154, 57299]            | 8400       | Fourier MLP     | Complex Neural Net
50   | [57300, 58445]            | 7200       | Fourier MLP     | Complex Neural Net
51   | [58446, 59591]            | 6000       | Fourier MLP     | Complex Neural Net
52   | [59592, 60737]            | 7200       | Fourier MLP     | Complex Neural Net
53   | [60738, 61883]            | 1800       | Fourier MLP     | Complex Neural Net
54   | [61884, 63029]            | 4200       | Fourier MLP     | Complex Neural Net
55   | [63030, 64175]            | 3600       | Fourier MLP     | Complex Neural Net
56   | [64176, 65321]            | 3600       | Fourier MLP     | Complex Neural Net
57   | [65322, 66467]            | 3600       | Fourier MLP     | Complex Neural Net
58   | [66468, 67613]            | 3600       | Fourier MLP     | Complex Neural Net
59   | [67614, 68759]            | 3600       | Fourier MLP     | Complex Neural Net
60   | [68760, 69905]            | 4800       | Fourier MLP     | Complex Neural Net
61   | [69906, 71051]            | 4800       | Fourier MLP     | Complex Neural Net
62   | [71052, 72197]            | 7800       | Fourier MLP     | Complex Neural Net
63   | [72198, 73343]            | 4800       | Fourier MLP     | Complex Neural Net
64   | [73344, 74489]            | 6600       | Fourier MLP     | Complex Neural Net
65   | [74490, 75635]            | 8400       | Fourier MLP     | Complex Neural Net
66   | [75636, 76781]            | 9000       | Fourier MLP     | Complex Neural Net
67   | [76782, 77927]            | 4200       | Fourier MLP     | Complex Neural Net
68   | [77928, 79073]            | 7200       | Fourier MLP     | Complex Neural Net
69   | [79074, 80219]            | 5400       | Fourier MLP     | Complex Neural Net
70   | [80220, 81365]            | 6600       | Fourier MLP     | Complex Neural Net
71   | [81366, 82511]            | 9600       | Fourier MLP     | Complex Neural Net
72   | [82512, 83657]            | 11400      | Fourier MLP     | Complex Neural Net
73   | [83658, 84803]            | 4200       | Fourier MLP     | Complex Neural Net
74   | [84804, 85949]            | 7800       | Fourier MLP     | Complex Neural Net
75   | [85950, 87095]            | 12600      | Fourier MLP     | Complex Neural Net
76   | [87096, 88241]            | 7800       | Fourier MLP     | Complex Neural Net
77   | [88242, 89387]            | 6600       | Fourier MLP     | Complex Neural Net
78   | [89388, 90533]            | 10800      | Fourier MLP     | Complex Neural Net
79   | [90534, 91679]            | 10800      | Fourier MLP     | Complex Neural Net
80   | [91680, 92825]            | 4800       | Fourier MLP     | Complex Neural Net
81   | [92826, 93971]            | 8400       | Fourier MLP     | Complex Neural Net
82   | [93972, 95117]            | 4200       | Fourier MLP     | Complex Neural Net
