
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 149]                  | 57673200   | Fourier MLP     | Complex Neural Net
1    | [150, 299]                | 1092600    | Fourier MLP     | Complex Neural Net
2    | [300, 449]                | 495000     | Fourier MLP     | Complex Neural Net
3    | [450, 599]                | 300000     | Fourier MLP     | Complex Neural Net
4    | [600, 749]                | 196200     | Fourier MLP     | Complex Neural Net
5    | [750, 899]                | 154800     | Fourier MLP     | Complex Neural Net
6    | [900, 1049]               | 88200      | Fourier MLP     | Complex Neural Net
7    | [1050, 1199]              | 0          | Uniform         | 
8    | [1200, 1349]              | 0          | Uniform         | 
9    | [1350, 1499]              | 0          | Uniform         | 
10   | [1500, 1649]              | 0          | Uniform         | 
11   | [1650, 1799]              | 0          | Uniform         | 
12   | [1800, 1949]              | 0          | Uniform         | 
13   | [1950, 2099]              | 0          | Uniform         | 
14   | [2100, 2249]              | 0          | Uniform         | 
15   | [2250, 2399]              | 0          | Uniform         | 
16   | [2400, 2549]              | 0          | Uniform         | 
17   | [2550, 2699]              | 0          | Uniform         | 
18   | [2700, 2849]              | 0          | Uniform         | 
19   | [2850, 2999]              | 0          | Uniform         | 
20   | [3000, 3149]              | 0          | Uniform         | 
21   | [3150, 3299]              | 0          | Uniform         | 
22   | [3300, 3449]              | 0          | Uniform         | 
23   | [3450, 3599]              | 0          | Uniform         | 
24   | [3600, 3749]              | 0          | Uniform         | 
25   | [3750, 3899]              | 0          | Uniform         | 
26   | [3900, 4049]              | 0          | Uniform         | 
27   | [4050, 4199]              | 0          | Uniform         | 
28   | [4200, 4349]              | 0          | Uniform         | 
29   | [4350, 4499]              | 0          | Uniform         | 
30   | [4500, 4649]              | 0          | Uniform         | 
31   | [4650, 4799]              | 0          | Uniform         | 
32   | [4800, 4949]              | 0          | Uniform         | 
33   | [4950, 5099]              | 0          | Uniform         | 
34   | [5100, 5249]              | 0          | Uniform         | 
35   | [5250, 5399]              | 0          | Uniform         | 
36   | [5400, 5549]              | 0          | Uniform         | 
37   | [5550, 5699]              | 0          | Uniform         | 
38   | [5700, 5849]              | 0          | Uniform         | 
39   | [5850, 5999]              | 0          | Uniform         | 
40   | [6000, 6149]              | 0          | Uniform         | 
41   | [6150, 6299]              | 0          | Uniform         | 
42   | [6300, 6449]              | 0          | Uniform         | 
43   | [6450, 6599]              | 0          | Uniform         | 
44   | [6600, 6749]              | 0          | Uniform         | 
45   | [6750, 6899]              | 0          | Uniform         | 
46   | [6900, 7049]              | 0          | Uniform         | 
47   | [7050, 7199]              | 0          | Uniform         | 
48   | [7200, 7349]              | 0          | Uniform         | 
49   | [7350, 7499]              | 0          | Uniform         | 
50   | [7500, 7649]              | 0          | Uniform         | 
51   | [7650, 7799]              | 0          | Uniform         | 
52   | [7800, 7949]              | 0          | Uniform         | 
53   | [7950, 8099]              | 0          | Uniform         | 
54   | [8100, 8249]              | 0          | Uniform         | 
55   | [8250, 8399]              | 0          | Uniform         | 
56   | [8400, 8549]              | 0          | Uniform         | 
57   | [8550, 8699]              | 0          | Uniform         | 
58   | [8700, 8849]              | 0          | Uniform         | 
59   | [8850, 8999]              | 0          | Uniform         | 
60   | [9000, 9149]              | 0          | Uniform         | 
61   | [9150, 9299]              | 0          | Uniform         | 
62   | [9300, 9449]              | 0          | Uniform         | 
63   | [9450, 9599]              | 0          | Uniform         | 
64   | [9600, 9749]              | 0          | Uniform         | 
65   | [9750, 9899]              | 0          | Uniform         | 
66   | [9900, 10049]             | 0          | Uniform         | 
67   | [10050, 10199]            | 0          | Uniform         | 
68   | [10200, 10349]            | 0          | Uniform         | 
69   | [10350, 10499]            | 0          | Uniform         | 
70   | [10500, 10649]            | 0          | Uniform         | 
71   | [10650, 10799]            | 0          | Uniform         | 
72   | [10800, 10949]            | 0          | Uniform         | 
73   | [10950, 11099]            | 0          | Uniform         | 
74   | [11100, 11249]            | 0          | Uniform         | 
75   | [11250, 11399]            | 0          | Uniform         | 
76   | [11400, 11549]            | 0          | Uniform         | 
77   | [11550, 11699]            | 0          | Uniform         | 
78   | [11700, 11849]            | 0          | Uniform         | 
79   | [11850, 11999]            | 0          | Uniform         | 
80   | [12000, 12149]            | 0          | Uniform         | 
81   | [12150, 12299]            | 0          | Uniform         | 
82   | [12300, 12449]            | 0          | Uniform         | 
83   | [12450, 12599]            | 0          | Uniform         | 
84   | [12600, 12749]            | 0          | Uniform         | 
85   | [12750, 12899]            | 0          | Uniform         | 
86   | [12900, 13049]            | 0          | Uniform         | 
87   | [13050, 13199]            | 0          | Uniform         | 
88   | [13200, 13349]            | 0          | Uniform         | 
89   | [13350, 13499]            | 0          | Uniform         | 
90   | [13500, 13649]            | 0          | Uniform         | 
91   | [13650, 13799]            | 0          | Uniform         | 
92   | [13800, 13949]            | 0          | Uniform         | 
93   | [13950, 14099]            | 0          | Uniform         | 
94   | [14100, 14249]            | 0          | Uniform         | 
95   | [14250, 14399]            | 0          | Uniform         | 
96   | [14400, 14549]            | 0          | Uniform         | 
97   | [14550, 14699]            | 0          | Uniform         | 
98   | [14700, 14849]            | 0          | Uniform         | 
99   | [14850, 14999]            | 0          | Uniform         | 
100  | [15000, 15149]            | 0          | Uniform         | 
101  | [15150, 15299]            | 0          | Uniform         | 
102  | [15300, 15449]            | 0          | Uniform         | 
103  | [15450, 15599]            | 0          | Uniform         | 
104  | [15600, 15749]            | 0          | Uniform         | 
105  | [15750, 15899]            | 0          | Uniform         | 
106  | [15900, 16049]            | 0          | Uniform         | 
107  | [16050, 16199]            | 0          | Uniform         | 
108  | [16200, 16349]            | 0          | Uniform         | 
109  | [16350, 16499]            | 0          | Uniform         | 
110  | [16500, 16649]            | 0          | Uniform         | 
111  | [16650, 16799]            | 0          | Uniform         | 
112  | [16800, 16949]            | 0          | Uniform         | 
113  | [16950, 17099]            | 0          | Uniform         | 
114  | [17100, 17249]            | 0          | Uniform         | 
115  | [17250, 17399]            | 0          | Uniform         | 
116  | [17400, 17549]            | 0          | Uniform         | 
117  | [17550, 17699]            | 0          | Uniform         | 
118  | [17700, 17849]            | 0          | Uniform         | 
119  | [17850, 17999]            | 0          | Uniform         | 
120  | [18000, 18149]            | 0          | Uniform         | 
121  | [18150, 18299]            | 0          | Uniform         | 
122  | [18300, 18449]            | 0          | Uniform         | 
123  | [18450, 18599]            | 0          | Uniform         | 
124  | [18600, 18749]            | 0          | Uniform         | 
125  | [18750, 18899]            | 0          | Uniform         | 
126  | [18900, 19049]            | 0          | Uniform         | 
127  | [19050, 19199]            | 0          | Uniform         | 
128  | [19200, 19349]            | 0          | Uniform         | 
129  | [19350, 19499]            | 0          | Uniform         | 
130  | [19500, 19649]            | 0          | Uniform         | 
131  | [19650, 19799]            | 0          | Uniform         | 
132  | [19800, 19949]            | 0          | Uniform         | 
133  | [19950, 20099]            | 0          | Uniform         | 
134  | [20100, 20249]            | 0          | Uniform         | 
135  | [20250, 20399]            | 0          | Uniform         | 
136  | [20400, 20549]            | 0          | Uniform         | 
137  | [20550, 20699]            | 0          | Uniform         | 
138  | [20700, 20849]            | 0          | Uniform         | 
139  | [20850, 20999]            | 0          | Uniform         | 
140  | [21000, 21149]            | 0          | Uniform         | 
141  | [21150, 21299]            | 0          | Uniform         | 
142  | [21300, 21449]            | 0          | Uniform         | 
143  | [21450, 21599]            | 0          | Uniform         | 
144  | [21600, 21749]            | 0          | Uniform         | 
145  | [21750, 21899]            | 0          | Uniform         | 
146  | [21900, 22049]            | 0          | Uniform         | 
147  | [22050, 22199]            | 0          | Uniform         | 
148  | [22200, 22349]            | 0          | Uniform         | 
149  | [22350, 22499]            | 0          | Uniform         | 
150  | [22500, 22649]            | 0          | Uniform         | 
151  | [22650, 22799]            | 0          | Uniform         | 
152  | [22800, 22949]            | 0          | Uniform         | 
153  | [22950, 23099]            | 0          | Uniform         | 
154  | [23100, 23249]            | 0          | Uniform         | 
155  | [23250, 23399]            | 0          | Uniform         | 
156  | [23400, 23549]            | 0          | Uniform         | 
157  | [23550, 23699]            | 0          | Uniform         | 
158  | [23700, 23849]            | 0          | Uniform         | 
159  | [23850, 23999]            | 0          | Uniform         | 
160  | [24000, 24149]            | 0          | Uniform         | 
161  | [24150, 24299]            | 0          | Uniform         | 
162  | [24300, 24449]            | 0          | Uniform         | 
163  | [24450, 24599]            | 0          | Uniform         | 
164  | [24600, 24749]            | 0          | Uniform         | 
165  | [24750, 24899]            | 0          | Uniform         | 
166  | [24900, 25049]            | 0          | Uniform         | 
167  | [25050, 25199]            | 0          | Uniform         | 
168  | [25200, 25349]            | 0          | Uniform         | 
169  | [25350, 25499]            | 0          | Uniform         | 
170  | [25500, 25649]            | 0          | Uniform         | 
171  | [25650, 25799]            | 0          | Uniform         | 
172  | [25800, 25949]            | 0          | Uniform         | 
173  | [25950, 26099]            | 0          | Uniform         | 
174  | [26100, 26249]            | 0          | Uniform         | 
175  | [26250, 26399]            | 0          | Uniform         | 
176  | [26400, 26549]            | 0          | Uniform         | 
177  | [26550, 26699]            | 0          | Uniform         | 
178  | [26700, 26849]            | 0          | Uniform         | 
179  | [26850, 26999]            | 0          | Uniform         | 
180  | [27000, 27149]            | 0          | Uniform         | 
181  | [27150, 27299]            | 0          | Uniform         | 
182  | [27300, 27449]            | 0          | Uniform         | 
183  | [27450, 27599]            | 0          | Uniform         | 
184  | [27600, 27749]            | 0          | Uniform         | 
185  | [27750, 27899]            | 0          | Uniform         | 
186  | [27900, 28049]            | 0          | Uniform         | 
187  | [28050, 28199]            | 0          | Uniform         | 
188  | [28200, 28349]            | 0          | Uniform         | 
189  | [28350, 28499]            | 0          | Uniform         | 
190  | [28500, 28649]            | 0          | Uniform         | 
191  | [28650, 28799]            | 0          | Uniform         | 
192  | [28800, 28949]            | 0          | Uniform         | 
193  | [28950, 29099]            | 0          | Uniform         | 
194  | [29100, 29249]            | 0          | Uniform         | 
195  | [29250, 29399]            | 0          | Uniform         | 
196  | [29400, 29549]            | 0          | Uniform         | 
197  | [29550, 29699]            | 0          | Uniform         | 
198  | [29700, 29849]            | 0          | Uniform         | 
199  | [29850, 29999]            | 0          | Uniform         | 
200  | [30000, 30149]            | 0          | Uniform         | 
201  | [30150, 30299]            | 0          | Uniform         | 
202  | [30300, 30449]            | 0          | Uniform         | 
203  | [30450, 30599]            | 0          | Uniform         | 
204  | [30600, 30749]            | 0          | Uniform         | 
205  | [30750, 30899]            | 0          | Uniform         | 
206  | [30900, 31049]            | 0          | Uniform         | 
207  | [31050, 31199]            | 0          | Uniform         | 
208  | [31200, 31349]            | 0          | Uniform         | 
209  | [31350, 31499]            | 0          | Uniform         | 
210  | [31500, 31649]            | 0          | Uniform         | 
211  | [31650, 31799]            | 0          | Uniform         | 
212  | [31800, 31949]            | 0          | Uniform         | 
213  | [31950, 32099]            | 0          | Uniform         | 
214  | [32100, 32249]            | 0          | Uniform         | 
215  | [32250, 32399]            | 0          | Uniform         | 
216  | [32400, 32549]            | 0          | Uniform         | 
217  | [32550, 32699]            | 0          | Uniform         | 
218  | [32700, 32849]            | 0          | Uniform         | 
219  | [32850, 32999]            | 0          | Uniform         | 
220  | [33000, 33149]            | 0          | Uniform         | 
221  | [33150, 33299]            | 0          | Uniform         | 
222  | [33300, 33449]            | 0          | Uniform         | 
223  | [33450, 33599]            | 0          | Uniform         | 
224  | [33600, 33749]            | 0          | Uniform         | 
225  | [33750, 33899]            | 0          | Uniform         | 
226  | [33900, 34049]            | 0          | Uniform         | 
227  | [34050, 34199]            | 0          | Uniform         | 
228  | [34200, 34349]            | 0          | Uniform         | 
229  | [34350, 34499]            | 0          | Uniform         | 
230  | [34500, 34649]            | 0          | Uniform         | 
231  | [34650, 34799]            | 0          | Uniform         | 
232  | [34800, 34949]            | 0          | Uniform         | 
233  | [34950, 35099]            | 0          | Uniform         | 
234  | [35100, 35249]            | 0          | Uniform         | 
235  | [35250, 35399]            | 0          | Uniform         | 
236  | [35400, 35549]            | 0          | Uniform         | 
237  | [35550, 35699]            | 0          | Uniform         | 
238  | [35700, 35849]            | 0          | Uniform         | 
239  | [35850, 35999]            | 0          | Uniform         | 
240  | [36000, 36149]            | 0          | Uniform         | 
241  | [36150, 36299]            | 0          | Uniform         | 
242  | [36300, 36449]            | 0          | Uniform         | 
243  | [36450, 36599]            | 0          | Uniform         | 
244  | [36600, 36749]            | 0          | Uniform         | 
245  | [36750, 36899]            | 0          | Uniform         | 
246  | [36900, 37049]            | 0          | Uniform         | 
247  | [37050, 37199]            | 0          | Uniform         | 
248  | [37200, 37349]            | 0          | Uniform         | 
249  | [37350, 37499]            | 0          | Uniform         | 
250  | [37500, 37649]            | 0          | Uniform         | 
251  | [37650, 37799]            | 0          | Uniform         | 
252  | [37800, 37949]            | 0          | Uniform         | 
253  | [37950, 38099]            | 0          | Uniform         | 
254  | [38100, 38249]            | 0          | Uniform         | 
255  | [38250, 38399]            | 0          | Uniform         | 
256  | [38400, 38549]            | 0          | Uniform         | 
257  | [38550, 38699]            | 0          | Uniform         | 
258  | [38700, 38849]            | 0          | Uniform         | 
259  | [38850, 38999]            | 0          | Uniform         | 
260  | [39000, 39149]            | 0          | Uniform         | 
261  | [39150, 39299]            | 0          | Uniform         | 
262  | [39300, 39449]            | 0          | Uniform         | 
263  | [39450, 39599]            | 0          | Uniform         | 
264  | [39600, 39749]            | 0          | Uniform         | 
265  | [39750, 39899]            | 0          | Uniform         | 
266  | [39900, 40049]            | 0          | Uniform         | 
267  | [40050, 40199]            | 0          | Uniform         | 
268  | [40200, 40349]            | 0          | Uniform         | 
269  | [40350, 40499]            | 0          | Uniform         | 
270  | [40500, 40649]            | 0          | Uniform         | 
271  | [40650, 40799]            | 0          | Uniform         | 
272  | [40800, 40949]            | 0          | Uniform         | 
273  | [40950, 41099]            | 0          | Uniform         | 
274  | [41100, 41249]            | 0          | Uniform         | 
275  | [41250, 41399]            | 0          | Uniform         | 
276  | [41400, 41549]            | 0          | Uniform         | 
277  | [41550, 41699]            | 0          | Uniform         | 
278  | [41700, 41849]            | 0          | Uniform         | 
279  | [41850, 41999]            | 0          | Uniform         | 
280  | [42000, 42149]            | 0          | Uniform         | 
281  | [42150, 42299]            | 0          | Uniform         | 
282  | [42300, 42449]            | 0          | Uniform         | 
283  | [42450, 42599]            | 0          | Uniform         | 
284  | [42600, 42749]            | 0          | Uniform         | 
285  | [42750, 42899]            | 0          | Uniform         | 
286  | [42900, 43049]            | 0          | Uniform         | 
287  | [43050, 43199]            | 0          | Uniform         | 
288  | [43200, 43349]            | 0          | Uniform         | 
289  | [43350, 43499]            | 0          | Uniform         | 
290  | [43500, 43649]            | 0          | Uniform         | 
291  | [43650, 43799]            | 0          | Uniform         | 
292  | [43800, 43949]            | 0          | Uniform         | 
293  | [43950, 44099]            | 0          | Uniform         | 
294  | [44100, 44249]            | 0          | Uniform         | 
295  | [44250, 44399]            | 0          | Uniform         | 
296  | [44400, 44549]            | 0          | Uniform         | 
297  | [44550, 44699]            | 0          | Uniform         | 
298  | [44700, 44849]            | 0          | Uniform         | 
299  | [44850, 44999]            | 0          | Uniform         | 
300  | [45000, 45149]            | 0          | Uniform         | 
301  | [45150, 45299]            | 0          | Uniform         | 
302  | [45300, 45449]            | 0          | Uniform         | 
303  | [45450, 45599]            | 0          | Uniform         | 
304  | [45600, 45749]            | 0          | Uniform         | 
305  | [45750, 45899]            | 0          | Uniform         | 
306  | [45900, 46049]            | 0          | Uniform         | 
307  | [46050, 46199]            | 0          | Uniform         | 
308  | [46200, 46349]            | 0          | Uniform         | 
309  | [46350, 46499]            | 0          | Uniform         | 
310  | [46500, 46649]            | 0          | Uniform         | 
311  | [46650, 46799]            | 0          | Uniform         | 
312  | [46800, 46949]            | 0          | Uniform         | 
313  | [46950, 47099]            | 0          | Uniform         | 
314  | [47100, 47249]            | 0          | Uniform         | 
315  | [47250, 47399]            | 0          | Uniform         | 
316  | [47400, 47549]            | 0          | Uniform         | 
317  | [47550, 47699]            | 0          | Uniform         | 
318  | [47700, 47849]            | 0          | Uniform         | 
319  | [47850, 47999]            | 0          | Uniform         | 
320  | [48000, 48149]            | 0          | Uniform         | 
321  | [48150, 48299]            | 0          | Uniform         | 
322  | [48300, 48449]            | 0          | Uniform         | 
323  | [48450, 48599]            | 0          | Uniform         | 
324  | [48600, 48749]            | 0          | Uniform         | 
325  | [48750, 48899]            | 0          | Uniform         | 
326  | [48900, 49049]            | 0          | Uniform         | 
327  | [49050, 49199]            | 0          | Uniform         | 
328  | [49200, 49349]            | 0          | Uniform         | 
329  | [49350, 49499]            | 0          | Uniform         | 
330  | [49500, 49649]            | 0          | Uniform         | 
331  | [49650, 49799]            | 0          | Uniform         | 
332  | [49800, 49949]            | 0          | Uniform         | 
333  | [49950, 50099]            | 0          | Uniform         | 
334  | [50100, 50249]            | 0          | Uniform         | 
335  | [50250, 50399]            | 0          | Uniform         | 
336  | [50400, 50549]            | 0          | Uniform         | 
337  | [50550, 50699]            | 0          | Uniform         | 
338  | [50700, 50849]            | 0          | Uniform         | 
339  | [50850, 50999]            | 0          | Uniform         | 
340  | [51000, 51149]            | 0          | Uniform         | 
341  | [51150, 51299]            | 0          | Uniform         | 
342  | [51300, 51449]            | 0          | Uniform         | 
343  | [51450, 51599]            | 0          | Uniform         | 
344  | [51600, 51749]            | 0          | Uniform         | 
345  | [51750, 51899]            | 0          | Uniform         | 
346  | [51900, 52049]            | 0          | Uniform         | 
347  | [52050, 52199]            | 0          | Uniform         | 
348  | [52200, 52349]            | 0          | Uniform         | 
349  | [52350, 52499]            | 0          | Uniform         | 
350  | [52500, 52649]            | 0          | Uniform         | 
351  | [52650, 52799]            | 0          | Uniform         | 
352  | [52800, 52949]            | 0          | Uniform         | 
353  | [52950, 53099]            | 0          | Uniform         | 
354  | [53100, 53249]            | 0          | Uniform         | 
355  | [53250, 53399]            | 0          | Uniform         | 
356  | [53400, 53549]            | 0          | Uniform         | 
357  | [53550, 53699]            | 0          | Uniform         | 
358  | [53700, 53849]            | 0          | Uniform         | 
359  | [53850, 53999]            | 0          | Uniform         | 
360  | [54000, 54149]            | 0          | Uniform         | 
361  | [54150, 54299]            | 0          | Uniform         | 
362  | [54300, 54449]            | 0          | Uniform         | 
363  | [54450, 54599]            | 0          | Uniform         | 
364  | [54600, 54749]            | 0          | Uniform         | 
365  | [54750, 54899]            | 0          | Uniform         | 
366  | [54900, 55049]            | 0          | Uniform         | 
367  | [55050, 55199]            | 0          | Uniform         | 
368  | [55200, 55349]            | 0          | Uniform         | 
369  | [55350, 55499]            | 0          | Uniform         | 
370  | [55500, 55649]            | 0          | Uniform         | 
371  | [55650, 55799]            | 0          | Uniform         | 
372  | [55800, 55949]            | 0          | Uniform         | 
373  | [55950, 56099]            | 0          | Uniform         | 
374  | [56100, 56249]            | 0          | Uniform         | 
375  | [56250, 56399]            | 0          | Uniform         | 
376  | [56400, 56549]            | 0          | Uniform         | 
377  | [56550, 56699]            | 0          | Uniform         | 
378  | [56700, 56849]            | 0          | Uniform         | 
379  | [56850, 56999]            | 0          | Uniform         | 
380  | [57000, 57149]            | 0          | Uniform         | 
381  | [57150, 57299]            | 0          | Uniform         | 
382  | [57300, 57449]            | 0          | Uniform         | 
383  | [57450, 57599]            | 0          | Uniform         | 
384  | [57600, 57749]            | 0          | Uniform         | 
385  | [57750, 57899]            | 0          | Uniform         | 
386  | [57900, 58049]            | 0          | Uniform         | 
387  | [58050, 58199]            | 0          | Uniform         | 
388  | [58200, 58349]            | 0          | Uniform         | 
389  | [58350, 58499]            | 0          | Uniform         | 
390  | [58500, 58649]            | 0          | Uniform         | 
391  | [58650, 58799]            | 0          | Uniform         | 
392  | [58800, 58949]            | 0          | Uniform         | 
