
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 999]                  | 600203     | Uniform         | 
1    | [1000, 1999]              | 600372     | Uniform         | 
2    | [2000, 2999]              | 599786     | Uniform         | 
3    | [3000, 3999]              | 598878     | Uniform         | 
4    | [4000, 4999]              | 599944     | Uniform         | 
5    | [5000, 5999]              | 600733     | Uniform         | 
6    | [6000, 6999]              | 599265     | Uniform         | 
7    | [7000, 7999]              | 601000     | Uniform         | 
8    | [8000, 8999]              | 600784     | Uniform         | 
9    | [9000, 9999]              | 599886     | Uniform         | 
10   | [10000, 10999]            | 599725     | Uniform         | 
11   | [11000, 11999]            | 600301     | Uniform         | 
12   | [12000, 12999]            | 599443     | Uniform         | 
13   | [13000, 13999]            | 601063     | Uniform         | 
14   | [14000, 14999]            | 600267     | Uniform         | 
15   | [15000, 15999]            | 600465     | Uniform         | 
16   | [16000, 16999]            | 599038     | Uniform         | 
17   | [17000, 17999]            | 597992     | Uniform         | 
18   | [18000, 18999]            | 599316     | Uniform         | 
19   | [19000, 19999]            | 600596     | Uniform         | 
20   | [20000, 20999]            | 600967     | Uniform         | 
21   | [21000, 21999]            | 600649     | Uniform         | 
22   | [22000, 22999]            | 600217     | Uniform         | 
23   | [23000, 23999]            | 599768     | Uniform         | 
24   | [24000, 24999]            | 600102     | Uniform         | 
25   | [25000, 25999]            | 599417     | Uniform         | 
26   | [26000, 26999]            | 600196     | Uniform         | 
27   | [27000, 27999]            | 600618     | Uniform         | 
28   | [28000, 28999]            | 600391     | Uniform         | 
29   | [29000, 29999]            | 600569     | Uniform         | 
30   | [30000, 30999]            | 599331     | Uniform         | 
31   | [31000, 31999]            | 600328     | Uniform         | 
32   | [32000, 32999]            | 599617     | Uniform         | 
33   | [33000, 33999]            | 599396     | Uniform         | 
34   | [34000, 34999]            | 599416     | Uniform         | 
35   | [35000, 35999]            | 600047     | Uniform         | 
36   | [36000, 36999]            | 598701     | Uniform         | 
37   | [37000, 37999]            | 600087     | Uniform         | 
38   | [38000, 38999]            | 599257     | Uniform         | 
39   | [39000, 39999]            | 600242     | Uniform         | 
40   | [40000, 40999]            | 600926     | Uniform         | 
41   | [41000, 41999]            | 600011     | Uniform         | 
42   | [42000, 42999]            | 600853     | Uniform         | 
43   | [43000, 43999]            | 600560     | Uniform         | 
44   | [44000, 44999]            | 601267     | Uniform         | 
45   | [45000, 45999]            | 600301     | Uniform         | 
46   | [46000, 46999]            | 599919     | Uniform         | 
47   | [47000, 47999]            | 599635     | Uniform         | 
48   | [48000, 48999]            | 599349     | Uniform         | 
49   | [49000, 49999]            | 599865     | Uniform         | 
50   | [50000, 50999]            | 599721     | Uniform         | 
51   | [51000, 51999]            | 601151     | Uniform         | 
52   | [52000, 52999]            | 599117     | Uniform         | 
53   | [53000, 53999]            | 600207     | Uniform         | 
54   | [54000, 54999]            | 600650     | Uniform         | 
55   | [55000, 55999]            | 600114     | Uniform         | 
56   | [56000, 56999]            | 600298     | Uniform         | 
57   | [57000, 57999]            | 600185     | Uniform         | 
58   | [58000, 58999]            | 599782     | Uniform         | 
59   | [59000, 59999]            | 600734     | Uniform         | 
60   | [60000, 60999]            | 600182     | Uniform         | 
61   | [61000, 61999]            | 600497     | Uniform         | 
62   | [62000, 62999]            | 599142     | Uniform         | 
63   | [63000, 63999]            | 600431     | Uniform         | 
64   | [64000, 64999]            | 599806     | Uniform         | 
65   | [65000, 65999]            | 600181     | Uniform         | 
66   | [66000, 66999]            | 600818     | Uniform         | 
67   | [67000, 67999]            | 598856     | Uniform         | 
68   | [68000, 68999]            | 601221     | Uniform         | 
69   | [69000, 69999]            | 598790     | Uniform         | 
70   | [70000, 70999]            | 598803     | Uniform         | 
71   | [71000, 71999]            | 600220     | Uniform         | 
72   | [72000, 72999]            | 599784     | Uniform         | 
73   | [73000, 73999]            | 599474     | Uniform         | 
74   | [74000, 74999]            | 599230     | Uniform         | 
75   | [75000, 75999]            | 599131     | Uniform         | 
76   | [76000, 76999]            | 600292     | Uniform         | 
77   | [77000, 77999]            | 601891     | Uniform         | 
78   | [78000, 78999]            | 600882     | Uniform         | 
79   | [79000, 79999]            | 600761     | Uniform         | 
80   | [80000, 80999]            | 599833     | Uniform         | 
81   | [81000, 81999]            | 598601     | Uniform         | 
82   | [82000, 82999]            | 599887     | Uniform         | 
83   | [83000, 83999]            | 600154     | Uniform         | 
84   | [84000, 84999]            | 599161     | Uniform         | 
85   | [85000, 85999]            | 600120     | Uniform         | 
86   | [86000, 86999]            | 599073     | Uniform         | 
87   | [87000, 87999]            | 599766     | Uniform         | 
88   | [88000, 88999]            | 599380     | Uniform         | 
89   | [89000, 89999]            | 599785     | Uniform         | 
90   | [90000, 90999]            | 600339     | Uniform         | 
91   | [91000, 91999]            | 599457     | Uniform         | 
92   | [92000, 92999]            | 600940     | Uniform         | 
93   | [93000, 93999]            | 599665     | Uniform         | 
94   | [94000, 94999]            | 600334     | Uniform         | 
95   | [95000, 95999]            | 599449     | Uniform         | 
96   | [96000, 96999]            | 599898     | Uniform         | 
97   | [97000, 97999]            | 598820     | Uniform         | 
98   | [98000, 98999]            | 601487     | Uniform         | 
99   | [99000, 99999]            | 600441     | Uniform         | 
================================================================================
