
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 10000]                | 97903      | Polynomial      | c1=0.1579, c2=0.0181, int=0.8240
1    | [10001, 20001]            | 20708      | Polynomial      | c1=0.8981, c2=0.0942, int=0.0116
2    | [20002, 30002]            | 24738      | Polynomial      | c1=0.8768, c2=0.1134, int=0.0126
3    | [30003, 40003]            | 29190      | Polynomial      | c1=0.8469, c2=0.1433, int=0.0148
4    | [40004, 50004]            | 34769      | Polynomial      | c1=0.8694, c2=0.1203, int=0.0138
5    | [50005, 60005]            | 40473      | Polynomial      | c1=0.8684, c2=0.1191, int=0.0144
6    | [60006, 70006]            | 47609      | Polynomial      | c1=0.8806, c2=0.1086, int=0.0130
7    | [70007, 80007]            | 55654      | Polynomial      | c1=0.8658, c2=0.1252, int=0.0127
8    | [80008, 90008]            | 64723      | Polynomial      | c1=0.8722, c2=0.1200, int=0.0119
9    | [90009, 100009]           | 75495      | Polynomial      | c1=0.8814, c2=0.1102, int=0.0122
10   | [100010, 110010]          | 86724      | Polynomial      | c1=0.8826, c2=0.1083, int=0.0122
11   | [110011, 120011]          | 99209      | Polynomial      | c1=0.8818, c2=0.1089, int=0.0124
12   | [120012, 130012]          | 114074     | Polynomial      | c1=0.8839, c2=0.1075, int=0.0125
13   | [130013, 140013]          | 130696     | Polynomial      | c1=0.8767, c2=0.1142, int=0.0125
14   | [140014, 150014]          | 148660     | Polynomial      | c1=0.8772, c2=0.1112, int=0.0146
15   | [150015, 160015]          | 168724     | Polynomial      | c1=0.8876, c2=0.1028, int=0.0130
16   | [160016, 170016]          | 190595     | Polynomial      | c1=0.8801, c2=0.1094, int=0.0138
17   | [170017, 180017]          | 215037     | Polynomial      | c1=0.8915, c2=0.1012, int=0.0120
18   | [180018, 190018]          | 241190     | Polynomial      | c1=0.8899, c2=0.1011, int=0.0127
19   | [190019, 200019]          | 269028     | Polynomial      | c1=0.8928, c2=0.0975, int=0.0131
20   | [200020, 210020]          | 300358     | Polynomial      | c1=0.8915, c2=0.0976, int=0.0138
21   | [210021, 220021]          | 333428     | Polynomial      | c1=0.8931, c2=0.0978, int=0.0127
22   | [220022, 230022]          | 369093     | Polynomial      | c1=0.8970, c2=0.0937, int=0.0130
23   | [230023, 240023]          | 404338     | Polynomial      | c1=0.9048, c2=0.0865, int=0.0126
24   | [240024, 250024]          | 446107     | Polynomial      | c1=0.8976, c2=0.0928, int=0.0135
25   | [250025, 260025]          | 486487     | Polynomial      | c1=0.9044, c2=0.0867, int=0.0133
26   | [260026, 270026]          | 531573     | Polynomial      | c1=0.9061, c2=0.0852, int=0.0124
27   | [270027, 280027]          | 576940     | Polynomial      | c1=0.9028, c2=0.0869, int=0.0135
28   | [280028, 290028]          | 624250     | Polynomial      | c1=0.9054, c2=0.0849, int=0.0134
29   | [290029, 300029]          | 675346     | Linear          | coef=1.0015, int=-0.0066
30   | [300030, 310030]          | 724052     | Polynomial      | c1=0.9058, c2=0.0839, int=0.0141
31   | [310031, 320031]          | 774329     | Linear          | coef=1.0008, int=-0.0051
32   | [320032, 330032]          | 825366     | Polynomial      | c1=0.9098, c2=0.0812, int=0.0136
33   | [330033, 340033]          | 881449     | Linear          | coef=1.0010, int=-0.0050
34   | [340034, 350034]          | 932434     | Linear          | coef=1.0006, int=-0.0043
35   | [350035, 360035]          | 984095     | Linear          | coef=1.0000, int=-0.0039
36   | [360036, 370036]          | 1035329    | Uniform         | 
37   | [370037, 380037]          | 1085887    | Linear          | coef=1.0001, int=-0.0037
38   | [380038, 390038]          | 1133315    | Uniform         | 
39   | [390039, 400039]          | 1178482    | Linear          | coef=1.0002, int=-0.0027
40   | [400040, 410040]          | 1222866    | Uniform         | 
41   | [410041, 420041]          | 1260874    | Uniform         | 
42   | [420042, 430042]          | 1298981    | Uniform         | 
43   | [430043, 440043]          | 1330067    | Uniform         | 
44   | [440044, 450044]          | 1359420    | Uniform         | 
45   | [450045, 460045]          | 1385010    | Uniform         | 
46   | [460046, 470046]          | 1404969    | Uniform         | 
47   | [470047, 480047]          | 1421507    | Uniform         | 
48   | [480048, 490048]          | 1430143    | Uniform         | 
49   | [490049, 500049]          | 1435721    | Uniform         | 
50   | [500050, 510050]          | 1435047    | Uniform         | 
51   | [510051, 520051]          | 1430156    | Uniform         | 
52   | [520052, 530052]          | 1420546    | Uniform         | 
53   | [530053, 540053]          | 1405510    | Uniform         | 
54   | [540054, 550054]          | 1384139    | Uniform         | 
55   | [550055, 560055]          | 1359090    | Linear          | coef=0.9946, int=0.0053
56   | [560056, 570056]          | 1330557    | Uniform         | 
57   | [570057, 580057]          | 1298064    | Linear          | coef=0.9945, int=0.0057
58   | [580058, 590058]          | 1258888    | Linear          | coef=0.9941, int=0.0064
59   | [590059, 600059]          | 1219235    | Linear          | coef=0.9936, int=0.0068
60   | [600060, 610060]          | 1178138    | Uniform         | 
61   | [610061, 620061]          | 1131168    | Linear          | coef=0.9935, int=0.0079
62   | [620062, 630062]          | 1084500    | Linear          | coef=0.9923, int=0.0090
63   | [630063, 640063]          | 1034860    | Linear          | coef=0.9933, int=0.0083
64   | [640064, 650064]          | 983102     | Linear          | coef=0.9922, int=0.0097
65   | [650065, 660065]          | 930339     | Linear          | coef=0.9928, int=0.0089
66   | [660066, 670066]          | 879867     | Linear          | coef=0.9925, int=0.0096
67   | [670067, 680067]          | 827940     | Linear          | coef=0.9920, int=0.0099
68   | [680068, 690068]          | 775631     | Linear          | coef=0.9914, int=0.0109
69   | [690069, 700069]          | 726347     | Linear          | coef=0.9903, int=0.0122
70   | [700070, 710070]          | 674023     | Uniform         | 
71   | [710071, 720071]          | 623395     | Linear          | coef=0.9910, int=0.0119
72   | [720072, 730072]          | 576261     | Linear          | coef=0.9908, int=0.0117
73   | [730073, 740073]          | 531683     | Linear          | coef=0.9914, int=0.0123
74   | [740074, 750074]          | 488197     | Linear          | coef=0.9902, int=0.0128
75   | [750075, 760075]          | 445755     | Linear          | coef=0.9895, int=0.0146
76   | [760076, 770076]          | 405707     | Uniform         | 
77   | [770077, 780077]          | 368924     | Linear          | coef=0.9883, int=0.0150
78   | [780078, 790078]          | 331619     | Polynomial      | c1=0.9931, c2=-0.0032, int=0.0148
