
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 10000]                | 600241     | Uniform         | 
1    | [10001, 20001]            | 600436     | Uniform         | 
2    | [20002, 30002]            | 599843     | Uniform         | 
3    | [30003, 40003]            | 598950     | Uniform         | 
4    | [40004, 50004]            | 600023     | Uniform         | 
5    | [50005, 60005]            | 600754     | Uniform         | 
6    | [60006, 70006]            | 599345     | Uniform         | 
7    | [70007, 80007]            | 601075     | Uniform         | 
8    | [80008, 90008]            | 600916     | Uniform         | 
9    | [90009, 100009]           | 599873     | Uniform         | 
10   | [100010, 110010]          | 599811     | Uniform         | 
11   | [110011, 120011]          | 600459     | Uniform         | 
12   | [120012, 130012]          | 599497     | Uniform         | 
13   | [130013, 140013]          | 601096     | Uniform         | 
14   | [140014, 150014]          | 600308     | Uniform         | 
15   | [150015, 160015]          | 600594     | Uniform         | 
16   | [160016, 170016]          | 599036     | Uniform         | 
17   | [170017, 180017]          | 597963     | Uniform         | 
18   | [180018, 190018]          | 599483     | Uniform         | 
19   | [190019, 200019]          | 600647     | Uniform         | 
20   | [200020, 210020]          | 601006     | Uniform         | 
21   | [210021, 220021]          | 600747     | Uniform         | 
22   | [220022, 230022]          | 600234     | Uniform         | 
23   | [230023, 240023]          | 599832     | Uniform         | 
24   | [240024, 250024]          | 600208     | Uniform         | 
25   | [250025, 260025]          | 599481     | Uniform         | 
26   | [260026, 270026]          | 600291     | Uniform         | 
27   | [270027, 280027]          | 600595     | Uniform         | 
28   | [280028, 290028]          | 600407     | Uniform         | 
29   | [290029, 300029]          | 600668     | Uniform         | 
30   | [300030, 310030]          | 599457     | Uniform         | 
31   | [310031, 320031]          | 600334     | Uniform         | 
32   | [320032, 330032]          | 599621     | Uniform         | 
33   | [330033, 340033]          | 599513     | Uniform         | 
34   | [340034, 350034]          | 599582     | Uniform         | 
35   | [350035, 360035]          | 600090     | Uniform         | 
36   | [360036, 370036]          | 598652     | Uniform         | 
37   | [370037, 380037]          | 600210     | Uniform         | 
38   | [380038, 390038]          | 599295     | Uniform         | 
39   | [390039, 400039]          | 600302     | Uniform         | 
40   | [400040, 410040]          | 601006     | Uniform         | 
41   | [410041, 420041]          | 600122     | Uniform         | 
42   | [420042, 430042]          | 600835     | Uniform         | 
43   | [430043, 440043]          | 600773     | Uniform         | 
44   | [440044, 450044]          | 601302     | Uniform         | 
45   | [450045, 460045]          | 600286     | Uniform         | 
46   | [460046, 470046]          | 600044     | Uniform         | 
47   | [470047, 480047]          | 599689     | Uniform         | 
48   | [480048, 490048]          | 599364     | Uniform         | 
49   | [490049, 500049]          | 599979     | Uniform         | 
50   | [500050, 510050]          | 599753     | Uniform         | 
51   | [510051, 520051]          | 601174     | Uniform         | 
52   | [520052, 530052]          | 599322     | Uniform         | 
53   | [530053, 540053]          | 600197     | Uniform         | 
54   | [540054, 550054]          | 600626     | Uniform         | 
55   | [550055, 560055]          | 600230     | Uniform         | 
56   | [560056, 570056]          | 600272     | Uniform         | 
57   | [570057, 580057]          | 600230     | Uniform         | 
58   | [580058, 590058]          | 599849     | Uniform         | 
59   | [590059, 600059]          | 600907     | Uniform         | 
60   | [600060, 610060]          | 600197     | Uniform         | 
61   | [610061, 620061]          | 600428     | Uniform         | 
62   | [620062, 630062]          | 599276     | Uniform         | 
63   | [630063, 640063]          | 600434     | Uniform         | 
64   | [640064, 650064]          | 599912     | Uniform         | 
65   | [650065, 660065]          | 600370     | Uniform         | 
66   | [660066, 670066]          | 600685     | Uniform         | 
67   | [670067, 680067]          | 598986     | Uniform         | 
68   | [680068, 690068]          | 601245     | Uniform         | 
69   | [690069, 700069]          | 598843     | Uniform         | 
70   | [700070, 710070]          | 598785     | Uniform         | 
71   | [710071, 720071]          | 600322     | Uniform         | 
72   | [720072, 730072]          | 599951     | Uniform         | 
73   | [730073, 740073]          | 599403     | Uniform         | 
74   | [740074, 750074]          | 599379     | Uniform         | 
75   | [750075, 760075]          | 598969     | Uniform         | 
76   | [760076, 770076]          | 600500     | Uniform         | 
77   | [770077, 780077]          | 602071     | Uniform         | 
78   | [780078, 790078]          | 600858     | Uniform         | 
79   | [790079, 800079]          | 600689     | Uniform         | 
80   | [800080, 810080]          | 600051     | Uniform         | 
81   | [810081, 820081]          | 598670     | Uniform         | 
82   | [820082, 830082]          | 599774     | Uniform         | 
83   | [830083, 840083]          | 600378     | Uniform         | 
84   | [840084, 850084]          | 599116     | Uniform         | 
85   | [850085, 860085]          | 600108     | Uniform         | 
86   | [860086, 870086]          | 599325     | Uniform         | 
87   | [870087, 880087]          | 599731     | Uniform         | 
88   | [880088, 890088]          | 599474     | Uniform         | 
89   | [890089, 900089]          | 599766     | Uniform         | 
90   | [900090, 910090]          | 600417     | Uniform         | 
91   | [910091, 920091]          | 599626     | Uniform         | 
92   | [920092, 930092]          | 600972     | Uniform         | 
93   | [930093, 940093]          | 599697     | Uniform         | 
94   | [940094, 950094]          | 600335     | Uniform         | 
95   | [950095, 960095]          | 599596     | Uniform         | 
96   | [960096, 970096]          | 599933     | Uniform         | 
97   | [970097, 980097]          | 598859     | Uniform         | 
98   | [980098, 990098]          | 601506     | Uniform         | 
99   | [990099, 1000000]         | 594528     | Uniform         | 
================================================================================
