
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 2999]                 | 39054312   | Log-Linear      | coef=0.1131, int=0.9969
1    | [3000, 5999]              | 3152387    | Polynomial      | c1=1.2099, c2=-0.2415, int=0.0351
2    | [6000, 8999]              | 1843416    | Polynomial      | c1=1.1072, c2=-0.1258, int=0.0239
3    | [9000, 11999]             | 1306212    | Polynomial      | c1=1.0581, c2=-0.0747, int=0.0219
4    | [12000, 14999]            | 1016441    | Polynomial      | c1=1.0311, c2=-0.0463, int=0.0206
5    | [15000, 17999]            | 830515     | Polynomial      | c1=1.0201, c2=-0.0339, int=0.0188
6    | [18000, 20999]            | 702771     | Polynomial      | c1=1.0008, c2=-0.0144, int=0.0187
7    | [21000, 23999]            | 607771     | Polynomial      | c1=0.9877, c2=-0.0021, int=0.0195
8    | [24000, 26999]            | 535189     | Linear          | coef=0.9878, int=0.0170
9    | [27000, 29999]            | 478475     | Linear          | coef=0.9885, int=0.0164
10   | [30000, 32999]            | 432676     | Linear          | coef=0.9887, int=0.0151
11   | [33000, 35999]            | 396624     | Linear          | coef=0.9897, int=0.0145
12   | [36000, 38999]            | 363912     | Linear          | coef=0.9899, int=0.0134
13   | [39000, 41999]            | 336481     | Linear          | coef=0.9899, int=0.0136
14   | [42000, 44999]            | 312920     | Linear          | coef=0.9917, int=0.0106
15   | [45000, 47999]            | 293333     | Linear          | coef=0.9907, int=0.0124
16   | [48000, 50999]            | 276489     | Uniform         | 
17   | [51000, 53999]            | 259928     | Uniform         | 
18   | [54000, 56999]            | 245509     | Linear          | coef=0.9920, int=0.0101
19   | [57000, 59999]            | 233832     | Linear          | coef=0.9922, int=0.0089
20   | [60000, 62999]            | 221451     | Linear          | coef=0.9936, int=0.0088
21   | [63000, 65999]            | 211129     | Linear          | coef=0.9910, int=0.0096
22   | [66000, 68999]            | 202720     | Uniform         | 
23   | [69000, 71999]            | 193158     | Uniform         | 
24   | [72000, 74999]            | 185696     | Linear          | coef=0.9905, int=0.0101
25   | [75000, 77999]            | 179099     | Linear          | coef=0.9935, int=0.0073
26   | [78000, 80999]            | 172087     | Linear          | coef=0.9928, int=0.0082
27   | [81000, 83999]            | 165384     | Linear          | coef=0.9929, int=0.0092
28   | [84000, 86999]            | 160005     | Uniform         | 
29   | [87000, 89999]            | 154803     | Uniform         | 
