
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 1150]                 | 81434      | Fourier MLP     | Complex Neural Net
1    | [1151, 2301]              | 1789       | Fourier MLP     | Complex Neural Net
2    | [2302, 3452]              | 2132       | Fourier MLP     | Complex Neural Net
3    | [3453, 4603]              | 2192       | Fourier MLP     | Complex Neural Net
4    | [4604, 5754]              | 2048       | Fourier MLP     | Complex Neural Net
5    | [5755, 6905]              | 1853       | Fourier MLP     | Complex Neural Net
6    | [6906, 8056]              | 1840       | Fourier MLP     | Complex Neural Net
7    | [8057, 9207]              | 1867       | Fourier MLP     | Complex Neural Net
8    | [9208, 10358]             | 2160       | Fourier MLP     | Complex Neural Net
9    | [10359, 11509]            | 2579       | Fourier MLP     | Complex Neural Net
10   | [11510, 12660]            | 2643       | Fourier MLP     | Complex Neural Net
11   | [12661, 13811]            | 2286       | Fourier MLP     | Complex Neural Net
12   | [13812, 14962]            | 2131       | Fourier MLP     | Complex Neural Net
13   | [14963, 16113]            | 2115       | Fourier MLP     | Complex Neural Net
14   | [16114, 17264]            | 2192       | Fourier MLP     | Complex Neural Net
15   | [17265, 18415]            | 2641       | Fourier MLP     | Complex Neural Net
16   | [18416, 19566]            | 2859       | Fourier MLP     | Complex Neural Net
17   | [19567, 20717]            | 2738       | Fourier MLP     | Complex Neural Net
18   | [20718, 21868]            | 2553       | Fourier MLP     | Complex Neural Net
19   | [21869, 23019]            | 2444       | Fourier MLP     | Complex Neural Net
20   | [23020, 24170]            | 2436       | Fourier MLP     | Complex Neural Net
21   | [24171, 25321]            | 2729       | Fourier MLP     | Complex Neural Net
22   | [25322, 26472]            | 3226       | Fourier MLP     | Complex Neural Net
23   | [26473, 27623]            | 3300       | Fourier MLP     | Complex Neural Net
24   | [27624, 28774]            | 3100       | Fourier MLP     | Complex Neural Net
25   | [28775, 29925]            | 2685       | Fourier MLP     | Complex Neural Net
26   | [29926, 31076]            | 2786       | Fourier MLP     | Complex Neural Net
27   | [31077, 32227]            | 2818       | Fourier MLP     | Complex Neural Net
28   | [32228, 33378]            | 3293       | Fourier MLP     | Complex Neural Net
29   | [33379, 34529]            | 3727       | Fourier MLP     | Complex Neural Net
30   | [34530, 35680]            | 3632       | Fourier MLP     | Complex Neural Net
31   | [35681, 36831]            | 3366       | Fourier MLP     | Complex Neural Net
32   | [36832, 37982]            | 3109       | Fourier MLP     | Complex Neural Net
33   | [37983, 39133]            | 3150       | Fourier MLP     | Complex Neural Net
34   | [39134, 40284]            | 3434       | Fourier MLP     | Complex Neural Net
35   | [40285, 41435]            | 3931       | Fourier MLP     | Complex Neural Net
36   | [41436, 42586]            | 4540       | Fourier MLP     | Complex Neural Net
37   | [42587, 43737]            | 4110       | Fourier MLP     | Complex Neural Net
38   | [43738, 44888]            | 3690       | Fourier MLP     | Complex Neural Net
39   | [44889, 46039]            | 3440       | Fourier MLP     | Complex Neural Net
40   | [46040, 47190]            | 3595       | Fourier MLP     | Complex Neural Net
41   | [47191, 48341]            | 4099       | Fourier MLP     | Complex Neural Net
42   | [48342, 49492]            | 4818       | Fourier MLP     | Complex Neural Net
43   | [49493, 50643]            | 4940       | Fourier MLP     | Complex Neural Net
44   | [50644, 51794]            | 4392       | Fourier MLP     | Complex Neural Net
45   | [51795, 52945]            | 4086       | Fourier MLP     | Complex Neural Net
46   | [52946, 54096]            | 3914       | Fourier MLP     | Complex Neural Net
47   | [54097, 55247]            | 4177       | Fourier MLP     | Complex Neural Net
48   | [55248, 56398]            | 4860       | Fourier MLP     | Complex Neural Net
49   | [56399, 57549]            | 5582       | Fourier MLP     | Complex Neural Net
50   | [57550, 58700]            | 5252       | Fourier MLP     | Complex Neural Net
51   | [58701, 59851]            | 4778       | Fourier MLP     | Complex Neural Net
52   | [59852, 61002]            | 4515       | Fourier MLP     | Complex Neural Net
53   | [61003, 62153]            | 4569       | Fourier MLP     | Complex Neural Net
54   | [62154, 63304]            | 4960       | Fourier MLP     | Complex Neural Net
55   | [63305, 64455]            | 6011       | Fourier MLP     | Complex Neural Net
56   | [64456, 65606]            | 6412       | Fourier MLP     | Complex Neural Net
57   | [65607, 66757]            | 5690       | Fourier MLP     | Complex Neural Net
58   | [66758, 67908]            | 5101       | Fourier MLP     | Complex Neural Net
59   | [67909, 69059]            | 5040       | Fourier MLP     | Complex Neural Net
60   | [69060, 70210]            | 5177       | Fourier MLP     | Complex Neural Net
61   | [70211, 71361]            | 5986       | Fourier MLP     | Complex Neural Net
62   | [71362, 72512]            | 6996       | Fourier MLP     | Complex Neural Net
63   | [72513, 73663]            | 6941       | Fourier MLP     | Complex Neural Net
64   | [73664, 74814]            | 6136       | Fourier MLP     | Complex Neural Net
65   | [74815, 75965]            | 5815       | Fourier MLP     | Complex Neural Net
66   | [75966, 77116]            | 5672       | Fourier MLP     | Complex Neural Net
67   | [77117, 78267]            | 6256       | Fourier MLP     | Complex Neural Net
68   | [78268, 79418]            | 7154       | Fourier MLP     | Complex Neural Net
69   | [79419, 80569]            | 8038       | Fourier MLP     | Complex Neural Net
70   | [80570, 81720]            | 7456       | Fourier MLP     | Complex Neural Net
71   | [81721, 82871]            | 6581       | Fourier MLP     | Complex Neural Net
72   | [82872, 84022]            | 6478       | Fourier MLP     | Complex Neural Net
73   | [84023, 85173]            | 6541       | Fourier MLP     | Complex Neural Net
74   | [85174, 86324]            | 7283       | Fourier MLP     | Complex Neural Net
75   | [86325, 87475]            | 8505       | Fourier MLP     | Complex Neural Net
76   | [87476, 88626]            | 9105       | Fourier MLP     | Complex Neural Net
77   | [88627, 89777]            | 8077       | Fourier MLP     | Complex Neural Net
78   | [89778, 90928]            | 7211       | Fourier MLP     | Complex Neural Net
79   | [90929, 92079]            | 7184       | Fourier MLP     | Complex Neural Net
80   | [92080, 93230]            | 7597       | Fourier MLP     | Complex Neural Net
