
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [63767, 65933]            | 1200000    | Fourier MLP     | Complex Neural Net
1    | [65934, 68100]            | 1200000    | Fourier MLP     | Complex Neural Net
2    | [68101, 70267]            | 0          | Uniform         | 
3    | [70268, 72434]            | 0          | Uniform         | 
4    | [72435, 74601]            | 0          | Uniform         | 
5    | [74602, 76768]            | 0          | Uniform         | 
6    | [76769, 78935]            | 0          | Uniform         | 
7    | [78936, 81102]            | 0          | Uniform         | 
8    | [81103, 83269]            | 0          | Uniform         | 
9    | [83270, 85436]            | 0          | Uniform         | 
10   | [85437, 87603]            | 1200000    | Fourier MLP     | Complex Neural Net
11   | [87604, 89770]            | 1200000    | Fourier MLP     | Complex Neural Net
12   | [89771, 91937]            | 0          | Uniform         | 
13   | [91938, 94104]            | 1200000    | Fourier MLP     | Complex Neural Net
14   | [94105, 96271]            | 1200000    | Fourier MLP     | Complex Neural Net
15   | [96272, 98438]            | 0          | Uniform         | 
16   | [98439, 100605]           | 0          | Uniform         | 
17   | [100606, 102772]          | 0          | Uniform         | 
18   | [102773, 104939]          | 0          | Uniform         | 
19   | [104940, 107106]          | 0          | Uniform         | 
20   | [107107, 109273]          | 0          | Uniform         | 
21   | [109274, 111440]          | 0          | Uniform         | 
22   | [111441, 113607]          | 0          | Uniform         | 
23   | [113608, 115774]          | 0          | Uniform         | 
24   | [115775, 117941]          | 0          | Uniform         | 
25   | [117942, 120108]          | 0          | Uniform         | 
26   | [120109, 122275]          | 0          | Uniform         | 
27   | [122276, 124442]          | 0          | Uniform         | 
28   | [124443, 126609]          | 0          | Uniform         | 
29   | [126610, 128776]          | 1200000    | Fourier MLP     | Complex Neural Net
30   | [128777, 130943]          | 0          | Uniform         | 
31   | [130944, 133110]          | 0          | Uniform         | 
32   | [133111, 135277]          | 0          | Uniform         | 
33   | [135278, 137444]          | 0          | Uniform         | 
34   | [137445, 139611]          | 0          | Uniform         | 
35   | [139612, 141778]          | 0          | Uniform         | 
36   | [141779, 143945]          | 0          | Uniform         | 
37   | [143946, 146112]          | 0          | Uniform         | 
38   | [146113, 148279]          | 0          | Uniform         | 
39   | [148280, 150446]          | 0          | Uniform         | 
40   | [150447, 152613]          | 0          | Uniform         | 
41   | [152614, 154780]          | 0          | Uniform         | 
42   | [154781, 156947]          | 0          | Uniform         | 
43   | [156948, 159114]          | 0          | Uniform         | 
44   | [159115, 161281]          | 0          | Uniform         | 
45   | [161282, 163448]          | 0          | Uniform         | 
46   | [163449, 165615]          | 1200000    | Fourier MLP     | Complex Neural Net
47   | [165616, 167782]          | 0          | Uniform         | 
48   | [167783, 169949]          | 0          | Uniform         | 
49   | [169950, 172116]          | 0          | Uniform         | 
50   | [172117, 174283]          | 0          | Uniform         | 
51   | [174284, 176450]          | 0          | Uniform         | 
52   | [176451, 178617]          | 0          | Uniform         | 
53   | [178618, 180784]          | 0          | Uniform         | 
54   | [180785, 182951]          | 1200000    | Fourier MLP     | Complex Neural Net
55   | [182952, 185118]          | 0          | Uniform         | 
