
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 2564]                 | 153465     | Uniform         | 
1    | [2565, 5129]              | 154058     | Uniform         | 
2    | [5130, 7694]              | 154102     | Uniform         | 
3    | [7695, 10259]             | 154212     | Uniform         | 
4    | [10260, 12824]            | 153761     | Uniform         | 
5    | [12825, 15389]            | 154134     | Uniform         | 
6    | [15390, 17954]            | 153800     | Uniform         | 
7    | [17955, 20519]            | 154493     | Uniform         | 
8    | [20520, 23084]            | 153424     | Uniform         | 
9    | [23085, 25649]            | 154265     | Uniform         | 
10   | [25650, 28214]            | 153663     | Uniform         | 
11   | [28215, 30779]            | 153363     | Uniform         | 
12   | [30780, 33344]            | 154044     | Uniform         | 
13   | [33345, 35909]            | 153880     | Uniform         | 
14   | [35910, 38474]            | 153395     | Uniform         | 
15   | [38475, 41039]            | 153591     | Uniform         | 
16   | [41040, 43604]            | 153685     | Uniform         | 
17   | [43605, 46169]            | 153896     | Uniform         | 
18   | [46170, 48734]            | 153814     | Uniform         | 
19   | [48735, 51299]            | 154170     | Uniform         | 
20   | [51300, 53864]            | 153703     | Uniform         | 
21   | [53865, 56429]            | 153725     | Uniform         | 
22   | [56430, 58994]            | 154948     | Uniform         | 
23   | [58995, 61559]            | 154233     | Uniform         | 
24   | [61560, 64124]            | 153535     | Uniform         | 
25   | [64125, 66689]            | 153342     | Uniform         | 
26   | [66690, 69254]            | 153996     | Uniform         | 
27   | [69255, 71819]            | 154303     | Uniform         | 
28   | [71820, 74384]            | 153809     | Uniform         | 
29   | [74385, 76949]            | 154286     | Uniform         | 
30   | [76950, 79514]            | 153969     | Uniform         | 
31   | [79515, 82079]            | 154206     | Uniform         | 
32   | [82080, 84644]            | 154165     | Uniform         | 
33   | [84645, 87209]            | 153812     | Uniform         | 
34   | [87210, 89774]            | 154318     | Uniform         | 
35   | [89775, 92339]            | 154334     | Uniform         | 
36   | [92340, 94904]            | 154110     | Uniform         | 
37   | [94905, 97469]            | 153361     | Uniform         | 
38   | [97470, 100034]           | 153568     | Uniform         | 
39   | [100035, 102599]          | 153707     | Uniform         | 
40   | [102600, 105164]          | 153595     | Uniform         | 
41   | [105165, 107729]          | 154319     | Uniform         | 
42   | [107730, 110294]          | 153774     | Uniform         | 
43   | [110295, 112859]          | 153799     | Uniform         | 
44   | [112860, 115424]          | 153904     | Uniform         | 
45   | [115425, 117989]          | 154112     | Uniform         | 
46   | [117990, 120554]          | 153926     | Uniform         | 
47   | [120555, 123119]          | 153660     | Uniform         | 
48   | [123120, 125684]          | 153596     | Uniform         | 
49   | [125685, 128249]          | 153862     | Uniform         | 
50   | [128250, 130814]          | 153885     | Uniform         | 
51   | [130815, 133379]          | 154343     | Uniform         | 
52   | [133380, 135944]          | 154463     | Uniform         | 
53   | [135945, 138509]          | 154072     | Uniform         | 
54   | [138510, 141074]          | 153849     | Uniform         | 
55   | [141075, 143639]          | 153906     | Uniform         | 
56   | [143640, 146204]          | 154316     | Uniform         | 
57   | [146205, 148769]          | 153689     | Uniform         | 
58   | [148770, 151334]          | 153935     | Uniform         | 
59   | [151335, 153899]          | 154366     | Uniform         | 
60   | [153900, 156464]          | 153972     | Uniform         | 
61   | [156465, 159029]          | 153816     | Uniform         | 
62   | [159030, 161594]          | 154167     | Uniform         | 
63   | [161595, 164159]          | 153625     | Uniform         | 
64   | [164160, 166724]          | 153151     | Uniform         | 
65   | [166725, 169289]          | 153966     | Uniform         | 
66   | [169290, 171854]          | 153325     | Uniform         | 
67   | [171855, 174419]          | 152991     | Uniform         | 
68   | [174420, 176984]          | 153377     | Uniform         | 
69   | [176985, 179549]          | 153993     | Uniform         | 
70   | [179550, 182114]          | 153340     | Uniform         | 
71   | [182115, 184679]          | 153842     | Uniform         | 
72   | [184680, 187244]          | 154064     | Uniform         | 
73   | [187245, 189809]          | 153563     | Uniform         | 
74   | [189810, 192374]          | 154158     | Uniform         | 
75   | [192375, 194939]          | 154425     | Uniform         | 
76   | [194940, 197504]          | 153530     | Uniform         | 
77   | [197505, 200069]          | 153991     | Uniform         | 
78   | [200070, 202634]          | 153495     | Uniform         | 
79   | [202635, 205199]          | 155100     | Uniform         | 
80   | [205200, 207764]          | 153758     | Uniform         | 
81   | [207765, 210329]          | 154208     | Uniform         | 
82   | [210330, 212894]          | 154382     | Uniform         | 
83   | [212895, 215459]          | 153755     | Uniform         | 
84   | [215460, 218024]          | 154289     | Uniform         | 
85   | [218025, 220589]          | 154020     | Uniform         | 
86   | [220590, 223154]          | 154636     | Uniform         | 
87   | [223155, 225719]          | 153438     | Uniform         | 
88   | [225720, 228284]          | 153913     | Uniform         | 
89   | [228285, 230849]          | 153482     | Uniform         | 
90   | [230850, 233414]          | 153864     | Uniform         | 
91   | [233415, 235979]          | 153658     | Uniform         | 
92   | [235980, 238544]          | 153599     | Uniform         | 
93   | [238545, 241109]          | 154169     | Uniform         | 
94   | [241110, 243674]          | 154281     | Uniform         | 
95   | [243675, 246239]          | 153969     | Uniform         | 
96   | [246240, 248804]          | 153615     | Uniform         | 
97   | [248805, 251369]          | 153341     | Uniform         | 
98   | [251370, 253934]          | 154153     | Uniform         | 
99   | [253935, 256499]          | 154003     | Uniform         | 
100  | [256500, 259064]          | 153662     | Uniform         | 
101  | [259065, 261629]          | 154160     | Uniform         | 
102  | [261630, 264194]          | 153701     | Uniform         | 
103  | [264195, 266759]          | 154046     | Uniform         | 
104  | [266760, 269324]          | 153796     | Uniform         | 
105  | [269325, 271889]          | 154349     | Uniform         | 
106  | [271890, 274454]          | 153582     | Uniform         | 
107  | [274455, 277019]          | 154173     | Uniform         | 
108  | [277020, 279584]          | 154034     | Uniform         | 
109  | [279585, 282149]          | 153885     | Uniform         | 
110  | [282150, 284714]          | 154290     | Uniform         | 
111  | [284715, 287279]          | 153778     | Uniform         | 
