
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 255]                  | 141600     | Uniform         | 
1    | [256, 511]                | 141600     | Uniform         | 
2    | [512, 767]                | 178200     | Uniform         | 
3    | [768, 1023]               | 150600     | Uniform         | 
4    | [1024, 1279]              | 147000     | Uniform         | 
5    | [1280, 1535]              | 152400     | Uniform         | 
6    | [1536, 1791]              | 144000     | Uniform         | 
7    | [1792, 2047]              | 156000     | Uniform         | 
8    | [2048, 2303]              | 153000     | Uniform         | 
9    | [2304, 2559]              | 147000     | Uniform         | 
10   | [2560, 2815]              | 154200     | Uniform         | 
11   | [2816, 3071]              | 162600     | Uniform         | 
12   | [3072, 3327]              | 163200     | Uniform         | 
13   | [3328, 3583]              | 172200     | Uniform         | 
14   | [3584, 3839]              | 152400     | Uniform         | 
15   | [3840, 4095]              | 147600     | Uniform         | 
16   | [4096, 4351]              | 172200     | Uniform         | 
17   | [4352, 4607]              | 161400     | Uniform         | 
18   | [4608, 4863]              | 168600     | Uniform         | 
19   | [4864, 5119]              | 160800     | Uniform         | 
20   | [5120, 5375]              | 139800     | Uniform         | 
21   | [5376, 5631]              | 145800     | Uniform         | 
22   | [5632, 5887]              | 144000     | Uniform         | 
23   | [5888, 6143]              | 156600     | Uniform         | 
24   | [6144, 6399]              | 171000     | Uniform         | 
25   | [6400, 6655]              | 145200     | Uniform         | 
26   | [6656, 6911]              | 156600     | Uniform         | 
27   | [6912, 7167]              | 147600     | Uniform         | 
28   | [7168, 7423]              | 150600     | Uniform         | 
29   | [7424, 7679]              | 148800     | Uniform         | 
30   | [7680, 7935]              | 159000     | Uniform         | 
31   | [7936, 8191]              | 146400     | Uniform         | 
32   | [8192, 8447]              | 156600     | Uniform         | 
33   | [8448, 8703]              | 145200     | Uniform         | 
34   | [8704, 8959]              | 160200     | Uniform         | 
35   | [8960, 9215]              | 151800     | Uniform         | 
36   | [9216, 9471]              | 153000     | Uniform         | 
37   | [9472, 9727]              | 145800     | Uniform         | 
38   | [9728, 9983]              | 144600     | Uniform         | 
39   | [9984, 10239]             | 148200     | Uniform         | 
40   | [10240, 10495]            | 166200     | Uniform         | 
41   | [10496, 10751]            | 142200     | Uniform         | 
42   | [10752, 11007]            | 142800     | Uniform         | 
43   | [11008, 11263]            | 144000     | Uniform         | 
44   | [11264, 11519]            | 160200     | Uniform         | 
45   | [11520, 11775]            | 165600     | Uniform         | 
46   | [11776, 12031]            | 159000     | Uniform         | 
47   | [12032, 12287]            | 151200     | Uniform         | 
48   | [12288, 12543]            | 155400     | Uniform         | 
49   | [12544, 12799]            | 171600     | Uniform         | 
50   | [12800, 13055]            | 142800     | Uniform         | 
51   | [13056, 13311]            | 146400     | Uniform         | 
52   | [13312, 13567]            | 162000     | Uniform         | 
53   | [13568, 13823]            | 166200     | Uniform         | 
54   | [13824, 14079]            | 145800     | Uniform         | 
55   | [14080, 14335]            | 152400     | Uniform         | 
56   | [14336, 14591]            | 160800     | Uniform         | 
57   | [14592, 14847]            | 162600     | Uniform         | 
58   | [14848, 15103]            | 158400     | Uniform         | 
59   | [15104, 15359]            | 163800     | Uniform         | 
60   | [15360, 15615]            | 156600     | Uniform         | 
61   | [15616, 15871]            | 150000     | Uniform         | 
62   | [15872, 16127]            | 142800     | Uniform         | 
63   | [16128, 16383]            | 143400     | Uniform         | 
64   | [16384, 16639]            | 147000     | Uniform         | 
65   | [16640, 16895]            | 161400     | Uniform         | 
66   | [16896, 17151]            | 140400     | Uniform         | 
67   | [17152, 17407]            | 157200     | Uniform         | 
68   | [17408, 17663]            | 153000     | Uniform         | 
69   | [17664, 17919]            | 142800     | Uniform         | 
70   | [17920, 18175]            | 164400     | Uniform         | 
71   | [18176, 18431]            | 155400     | Uniform         | 
72   | [18432, 18687]            | 147000     | Uniform         | 
73   | [18688, 18943]            | 153600     | Uniform         | 
74   | [18944, 19199]            | 133800     | Uniform         | 
75   | [19200, 19455]            | 162600     | Uniform         | 
76   | [19456, 19711]            | 145200     | Uniform         | 
77   | [19712, 19967]            | 153600     | Uniform         | 
78   | [19968, 20223]            | 157200     | Uniform         | 
79   | [20224, 20479]            | 157200     | Uniform         | 
80   | [20480, 20735]            | 161400     | Uniform         | 
81   | [20736, 20991]            | 148200     | Uniform         | 
82   | [20992, 21247]            | 155400     | Uniform         | 
83   | [21248, 21503]            | 160800     | Uniform         | 
84   | [21504, 21759]            | 125400     | Uniform         | 
85   | [21760, 22015]            | 166800     | Uniform         | 
86   | [22016, 22271]            | 147000     | Uniform         | 
87   | [22272, 22527]            | 159000     | Uniform         | 
88   | [22528, 22783]            | 154200     | Uniform         | 
89   | [22784, 23039]            | 152400     | Uniform         | 
90   | [23040, 23295]            | 154800     | Uniform         | 
91   | [23296, 23551]            | 134400     | Uniform         | 
92   | [23552, 23807]            | 139800     | Uniform         | 
93   | [23808, 24063]            | 149400     | Uniform         | 
