
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 2564]                 | 152638     | Uniform         | 
1    | [2565, 5129]              | 153978     | Uniform         | 
2    | [5130, 7694]              | 154206     | Uniform         | 
3    | [7695, 10259]             | 154304     | Uniform         | 
4    | [10260, 12824]            | 153768     | Uniform         | 
5    | [12825, 15389]            | 154438     | Fourier MLP     | Complex Neural Net
6    | [15390, 17954]            | 153772     | Uniform         | 
7    | [17955, 20519]            | 154992     | Fourier MLP     | Complex Neural Net
8    | [20520, 23084]            | 153510     | Uniform         | 
9    | [23085, 25649]            | 154576     | Uniform         | 
10   | [25650, 28214]            | 153512     | Uniform         | 
11   | [28215, 30779]            | 152954     | Fourier MLP     | Complex Neural Net
12   | [30780, 33344]            | 154632     | Uniform         | 
13   | [33345, 35909]            | 153576     | Uniform         | 
14   | [35910, 38474]            | 153776     | Uniform         | 
15   | [38475, 41039]            | 153080     | Uniform         | 
16   | [41040, 43604]            | 152490     | Uniform         | 
17   | [43605, 46169]            | 154178     | Uniform         | 
18   | [46170, 48734]            | 153756     | Uniform         | 
19   | [48735, 51299]            | 154306     | Uniform         | 
20   | [51300, 53864]            | 152758     | Uniform         | 
21   | [53865, 56429]            | 153352     | Uniform         | 
22   | [56430, 58994]            | 155258     | Uniform         | 
23   | [58995, 61559]            | 154106     | Uniform         | 
24   | [61560, 64124]            | 152846     | Uniform         | 
25   | [64125, 66689]            | 152758     | Uniform         | 
26   | [66690, 69254]            | 153876     | Uniform         | 
27   | [69255, 71819]            | 154870     | Fourier MLP     | Complex Neural Net
28   | [71820, 74384]            | 154478     | Uniform         | 
29   | [74385, 76949]            | 154652     | Uniform         | 
30   | [76950, 79514]            | 153654     | Uniform         | 
31   | [79515, 82079]            | 154700     | Uniform         | 
32   | [82080, 84644]            | 154476     | Uniform         | 
33   | [84645, 87209]            | 153860     | Uniform         | 
34   | [87210, 89774]            | 154486     | Uniform         | 
35   | [89775, 92339]            | 155220     | Uniform         | 
36   | [92340, 94904]            | 154260     | Uniform         | 
37   | [94905, 97469]            | 152830     | Uniform         | 
38   | [97470, 100034]           | 153314     | Uniform         | 
39   | [100035, 102599]          | 153638     | Uniform         | 
40   | [102600, 105164]          | 152960     | Uniform         | 
41   | [105165, 107729]          | 155028     | Uniform         | 
42   | [107730, 110294]          | 153706     | Uniform         | 
43   | [110295, 112859]          | 153486     | Uniform         | 
44   | [112860, 115424]          | 153894     | Fourier MLP     | Complex Neural Net
45   | [115425, 117989]          | 154606     | Uniform         | 
46   | [117990, 120554]          | 154454     | Uniform         | 
47   | [120555, 123119]          | 153492     | Uniform         | 
48   | [123120, 125684]          | 152224     | Uniform         | 
49   | [125685, 128249]          | 153932     | Uniform         | 
50   | [128250, 130814]          | 153676     | Uniform         | 
51   | [130815, 133379]          | 155098     | Uniform         | 
52   | [133380, 135944]          | 155088     | Uniform         | 
53   | [135945, 138509]          | 153730     | Uniform         | 
54   | [138510, 141074]          | 153320     | Uniform         | 
55   | [141075, 143639]          | 153466     | Uniform         | 
56   | [143640, 146204]          | 154682     | Fourier MLP     | Complex Neural Net
57   | [146205, 148769]          | 154370     | Uniform         | 
58   | [148770, 151334]          | 154632     | Uniform         | 
59   | [151335, 153899]          | 154518     | Uniform         | 
60   | [153900, 156464]          | 154404     | Uniform         | 
61   | [156465, 159029]          | 153530     | Uniform         | 
62   | [159030, 161594]          | 153942     | Uniform         | 
63   | [161595, 164159]          | 153586     | Uniform         | 
64   | [164160, 166724]          | 151974     | Uniform         | 
65   | [166725, 169289]          | 154200     | Uniform         | 
66   | [169290, 171854]          | 152856     | Uniform         | 
67   | [171855, 174419]          | 152248     | Uniform         | 
68   | [174420, 176984]          | 152578     | Uniform         | 
69   | [176985, 179549]          | 154122     | Uniform         | 
70   | [179550, 182114]          | 152312     | Uniform         | 
71   | [182115, 184679]          | 153926     | Uniform         | 
72   | [184680, 187244]          | 154174     | Uniform         | 
73   | [187245, 189809]          | 153364     | Uniform         | 
74   | [189810, 192374]          | 154282     | Fourier MLP     | Complex Neural Net
75   | [192375, 194939]          | 154852     | Uniform         | 
76   | [194940, 197504]          | 153198     | Uniform         | 
77   | [197505, 200069]          | 154156     | Uniform         | 
78   | [200070, 202634]          | 152640     | Uniform         | 
79   | [202635, 205199]          | 155562     | Uniform         | 
80   | [205200, 207764]          | 153132     | Uniform         | 
81   | [207765, 210329]          | 154674     | Uniform         | 
82   | [210330, 212894]          | 155574     | Uniform         | 
83   | [212895, 215459]          | 153970     | Uniform         | 
84   | [215460, 218024]          | 154384     | Uniform         | 
