
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 2557]                 | 153167     | Uniform         | 
1    | [2558, 5115]              | 153419     | Uniform         | 
2    | [5116, 7673]              | 153673     | Uniform         | 
3    | [7674, 10231]             | 153914     | Uniform         | 
4    | [10232, 12789]            | 153175     | Uniform         | 
5    | [12790, 15347]            | 153984     | Uniform         | 
6    | [15348, 17905]            | 153376     | Uniform         | 
7    | [17906, 20463]            | 153496     | Uniform         | 
8    | [20464, 23021]            | 153290     | Uniform         | 
9    | [23022, 25579]            | 153487     | Uniform         | 
10   | [25580, 28137]            | 153861     | Uniform         | 
11   | [28138, 30695]            | 153140     | Uniform         | 
12   | [30696, 33253]            | 153400     | Uniform         | 
13   | [33254, 35811]            | 153458     | Uniform         | 
14   | [35812, 38369]            | 152925     | Uniform         | 
15   | [38370, 40927]            | 153231     | Uniform         | 
16   | [40928, 43485]            | 153134     | Uniform         | 
17   | [43486, 46043]            | 153568     | Uniform         | 
18   | [46044, 48601]            | 153371     | Uniform         | 
19   | [48602, 51159]            | 153743     | Uniform         | 
20   | [51160, 53717]            | 153383     | Uniform         | 
21   | [53718, 56275]            | 153532     | Uniform         | 
22   | [56276, 58833]            | 154171     | Uniform         | 
23   | [58834, 61391]            | 153897     | Uniform         | 
24   | [61392, 63949]            | 153002     | Uniform         | 
25   | [63950, 66507]            | 153216     | Uniform         | 
26   | [66508, 69065]            | 153180     | Uniform         | 
27   | [69066, 71623]            | 153613     | Uniform         | 
28   | [71624, 74181]            | 153975     | Uniform         | 
29   | [74182, 76739]            | 153649     | Uniform         | 
30   | [76740, 79297]            | 153452     | Uniform         | 
31   | [79298, 81855]            | 153870     | Uniform         | 
32   | [81856, 84413]            | 153832     | Uniform         | 
33   | [84414, 86971]            | 153473     | Uniform         | 
34   | [86972, 89529]            | 153575     | Uniform         | 
35   | [89530, 92087]            | 154303     | Uniform         | 
36   | [92088, 94645]            | 153475     | Uniform         | 
37   | [94646, 97203]            | 153004     | Uniform         | 
38   | [97204, 99761]            | 153191     | Uniform         | 
39   | [99762, 102319]           | 153254     | Uniform         | 
40   | [102320, 104877]          | 152974     | Uniform         | 
41   | [104878, 107435]          | 154334     | Uniform         | 
42   | [107436, 109993]          | 153084     | Uniform         | 
43   | [109994, 112551]          | 153252     | Uniform         | 
44   | [112552, 115109]          | 153540     | Uniform         | 
45   | [115110, 117667]          | 153845     | Uniform         | 
46   | [117668, 120225]          | 153691     | Uniform         | 
47   | [120226, 122783]          | 152941     | Uniform         | 
48   | [122784, 125341]          | 153229     | Uniform         | 
49   | [125342, 127899]          | 153596     | Uniform         | 
50   | [127900, 130457]          | 153710     | Uniform         | 
51   | [130458, 133015]          | 153752     | Uniform         | 
52   | [133016, 135573]          | 153547     | Uniform         | 
53   | [135574, 138131]          | 153739     | Uniform         | 
54   | [138132, 140689]          | 153735     | Uniform         | 
55   | [140690, 143247]          | 153238     | Uniform         | 
56   | [143248, 145805]          | 154169     | Uniform         | 
57   | [145806, 148363]          | 153545     | Uniform         | 
58   | [148364, 150921]          | 153259     | Uniform         | 
59   | [150922, 153479]          | 153966     | Uniform         | 
60   | [153480, 156037]          | 153568     | Uniform         | 
61   | [156038, 158595]          | 153458     | Uniform         | 
62   | [158596, 161153]          | 153368     | Uniform         | 
63   | [161154, 163711]          | 153531     | Uniform         | 
64   | [163712, 166269]          | 152485     | Uniform         | 
65   | [166270, 168827]          | 153711     | Uniform         | 
66   | [168828, 171385]          | 152941     | Uniform         | 
67   | [171386, 173943]          | 152737     | Uniform         | 
68   | [173944, 176501]          | 152722     | Uniform         | 
69   | [176502, 179059]          | 153618     | Uniform         | 
70   | [179060, 181617]          | 152763     | Uniform         | 
71   | [181618, 184175]          | 153564     | Uniform         | 
72   | [184176, 186733]          | 153678     | Uniform         | 
73   | [186734, 189291]          | 153183     | Uniform         | 
74   | [189292, 191849]          | 153612     | Uniform         | 
75   | [191850, 194407]          | 153858     | Uniform         | 
76   | [194408, 196965]          | 153565     | Uniform         | 
77   | [196966, 199523]          | 153269     | Uniform         | 
78   | [199524, 202081]          | 153220     | Uniform         | 
79   | [202082, 204639]          | 154149     | Uniform         | 
80   | [204640, 207197]          | 153772     | Uniform         | 
81   | [207198, 209755]          | 153648     | Uniform         | 
82   | [209756, 212313]          | 153846     | Uniform         | 
83   | [212314, 214871]          | 153817     | Uniform         | 
84   | [214872, 217429]          | 153716     | Uniform         | 
85   | [217430, 219987]          | 153224     | Uniform         | 
86   | [219988, 222545]          | 154320     | Uniform         | 
87   | [222546, 225103]          | 153419     | Uniform         | 
88   | [225104, 227661]          | 153408     | Uniform         | 
89   | [227662, 230219]          | 152831     | Uniform         | 
90   | [230220, 232777]          | 153581     | Uniform         | 
91   | [232778, 235335]          | 153241     | Uniform         | 
92   | [235336, 237893]          | 152860     | Uniform         | 
93   | [237894, 240451]          | 154127     | Uniform         | 
94   | [240452, 243009]          | 153566     | Uniform         | 
95   | [243010, 245567]          | 153587     | Uniform         | 
96   | [245568, 248125]          | 153530     | Uniform         | 
97   | [248126, 250683]          | 153039     | Uniform         | 
98   | [250684, 253241]          | 153443     | Uniform         | 
99   | [253242, 255799]          | 153579     | Uniform         | 
100  | [255800, 258357]          | 153169     | Uniform         | 
101  | [258358, 260915]          | 153732     | Uniform         | 
102  | [260916, 263473]          | 153511     | Uniform         | 
103  | [263474, 266031]          | 153544     | Uniform         | 
104  | [266032, 268589]          | 153440     | Uniform         | 
105  | [268590, 271147]          | 153616     | Uniform         | 
106  | [271148, 273705]          | 153334     | Uniform         | 
107  | [273706, 276263]          | 153456     | Uniform         | 
108  | [276264, 278821]          | 153746     | Uniform         | 
109  | [278822, 281379]          | 153593     | Uniform         | 
110  | [281380, 283937]          | 153926     | Uniform         | 
111  | [283938, 286495]          | 153498     | Uniform         | 
112  | [286496, 289053]          | 153772     | Uniform         | 
113  | [289054, 291611]          | 153586     | Uniform         | 
114  | [291612, 294169]          | 154118     | Uniform         | 
115  | [294170, 296727]          | 153273     | Uniform         | 
116  | [296728, 299285]          | 153172     | Uniform         | 
117  | [299286, 301843]          | 153267     | Uniform         | 
118  | [301844, 304401]          | 153557     | Uniform         | 
119  | [304402, 306959]          | 153434     | Uniform         | 
120  | [306960, 309517]          | 152895     | Uniform         | 
121  | [309518, 312075]          | 153859     | Uniform         | 
122  | [312076, 314633]          | 153182     | Uniform         | 
123  | [314634, 317191]          | 153546     | Uniform         | 
124  | [317192, 319749]          | 153666     | Uniform         | 
125  | [319750, 322307]          | 153844     | Uniform         | 
126  | [322308, 324865]          | 153052     | Uniform         | 
127  | [324866, 327423]          | 153302     | Uniform         | 
128  | [327424, 329981]          | 153666     | Uniform         | 
129  | [329982, 332539]          | 153235     | Uniform         | 
130  | [332540, 335097]          | 153119     | Uniform         | 
131  | [335098, 337655]          | 153131     | Uniform         | 
132  | [337656, 340213]          | 153548     | Uniform         | 
133  | [340214, 342771]          | 153642     | Uniform         | 
134  | [342772, 345329]          | 152937     | Uniform         | 
135  | [345330, 347887]          | 153829     | Uniform         | 
136  | [347888, 350445]          | 153046     | Uniform         | 
137  | [350446, 353003]          | 153371     | Uniform         | 
138  | [353004, 355561]          | 153652     | Uniform         | 
139  | [355562, 358119]          | 153544     | Uniform         | 
140  | [358120, 360677]          | 153431     | Uniform         | 
141  | [360678, 363235]          | 153183     | Uniform         | 
142  | [363236, 365793]          | 153562     | Uniform         | 
143  | [365794, 368351]          | 153071     | Uniform         | 
144  | [368352, 370909]          | 153047     | Uniform         | 
145  | [370910, 373467]          | 153099     | Uniform         | 
146  | [373468, 376025]          | 153599     | Uniform         | 
147  | [376026, 378583]          | 153711     | Uniform         | 
148  | [378584, 381141]          | 153158     | Uniform         | 
149  | [381142, 383699]          | 152911     | Uniform         | 
150  | [383700, 386257]          | 153357     | Uniform         | 
151  | [386258, 388815]          | 153684     | Uniform         | 
152  | [388816, 391373]          | 153523     | Uniform         | 
153  | [391374, 393931]          | 153880     | Uniform         | 
154  | [393932, 396489]          | 153754     | Uniform         | 
155  | [396490, 399047]          | 153054     | Uniform         | 
156  | [399048, 401605]          | 153640     | Uniform         | 
157  | [401606, 404163]          | 154113     | Uniform         | 
158  | [404164, 406721]          | 153852     | Uniform         | 
159  | [406722, 409279]          | 153457     | Uniform         | 
160  | [409280, 411837]          | 153385     | Uniform         | 
161  | [411838, 414395]          | 153312     | Uniform         | 
162  | [414396, 416953]          | 154157     | Uniform         | 
163  | [416954, 419511]          | 152976     | Uniform         | 
164  | [419512, 422069]          | 153529     | Uniform         | 
165  | [422070, 424627]          | 154248     | Uniform         | 
166  | [424628, 427185]          | 153543     | Uniform         | 
167  | [427186, 429743]          | 153561     | Uniform         | 
168  | [429744, 432301]          | 152906     | Uniform         | 
169  | [432302, 434859]          | 153891     | Uniform         | 
170  | [434860, 437417]          | 154206     | Uniform         | 
171  | [437418, 439975]          | 153346     | Uniform         | 
172  | [439976, 442533]          | 154089     | Uniform         | 
173  | [442534, 445091]          | 153715     | Uniform         | 
174  | [445092, 447649]          | 153735     | Uniform         | 
175  | [447650, 450207]          | 153407     | Uniform         | 
176  | [450208, 452765]          | 153304     | Uniform         | 
177  | [452766, 455323]          | 153373     | Uniform         | 
178  | [455324, 457881]          | 153932     | Uniform         | 
179  | [457882, 460439]          | 153815     | Uniform         | 
180  | [460440, 462997]          | 153197     | Uniform         | 
181  | [462998, 465555]          | 153715     | Uniform         | 
182  | [465556, 468113]          | 153390     | Uniform         | 
183  | [468114, 470671]          | 153427     | Uniform         | 
184  | [470672, 473229]          | 152867     | Uniform         | 
185  | [473230, 475787]          | 153551     | Uniform         | 
186  | [475788, 478345]          | 153577     | Uniform         | 
187  | [478346, 480903]          | 153556     | Uniform         | 
188  | [480904, 483461]          | 153239     | Uniform         | 
189  | [483462, 486019]          | 153107     | Uniform         | 
190  | [486020, 488577]          | 154031     | Uniform         | 
191  | [488578, 491135]          | 152912     | Uniform         | 
192  | [491136, 493693]          | 153525     | Uniform         | 
193  | [493694, 496251]          | 153694     | Uniform         | 
194  | [496252, 498809]          | 153060     | Uniform         | 
195  | [498810, 501367]          | 153754     | Uniform         | 
196  | [501368, 503925]          | 153446     | Uniform         | 
197  | [503926, 506483]          | 153382     | Uniform         | 
198  | [506484, 509041]          | 153325     | Uniform         | 
199  | [509042, 511599]          | 153798     | Uniform         | 
200  | [511600, 514157]          | 153804     | Uniform         | 
201  | [514158, 516715]          | 153836     | Uniform         | 
202  | [516716, 519273]          | 153487     | Uniform         | 
203  | [519274, 521831]          | 153312     | Uniform         | 
204  | [521832, 524389]          | 153253     | Uniform         | 
205  | [524390, 526947]          | 153469     | Uniform         | 
206  | [526948, 529505]          | 152613     | Uniform         | 
207  | [529506, 532063]          | 153601     | Uniform         | 
208  | [532064, 534621]          | 153399     | Uniform         | 
209  | [534622, 537179]          | 153990     | Uniform         | 
210  | [537180, 539737]          | 153380     | Uniform         | 
211  | [539738, 542295]          | 153372     | Uniform         | 
212  | [542296, 544853]          | 153634     | Uniform         | 
213  | [544854, 547411]          | 154114     | Uniform         | 
214  | [547412, 549969]          | 153581     | Uniform         | 
215  | [549970, 552527]          | 153714     | Uniform         | 
216  | [552528, 555085]          | 153036     | Uniform         | 
217  | [555086, 557643]          | 153706     | Uniform         | 
218  | [557644, 560201]          | 153625     | Uniform         | 
219  | [560202, 562759]          | 152995     | Uniform         | 
220  | [562760, 565317]          | 154136     | Uniform         | 
221  | [565318, 567875]          | 153414     | Uniform         | 
222  | [567876, 570433]          | 153615     | Uniform         | 
223  | [570434, 572991]          | 153454     | Uniform         | 
224  | [572992, 575549]          | 153130     | Uniform         | 
225  | [575550, 578107]          | 153686     | Uniform         | 
226  | [578108, 580665]          | 153618     | Uniform         | 
227  | [580666, 583223]          | 154325     | Uniform         | 
228  | [583224, 585781]          | 152924     | Uniform         | 
229  | [585782, 588339]          | 153494     | Uniform         | 
230  | [588340, 590897]          | 152840     | Uniform         | 
231  | [590898, 593455]          | 154067     | Uniform         | 
232  | [593456, 596013]          | 153456     | Uniform         | 
233  | [596014, 598571]          | 154083     | Uniform         | 
234  | [598572, 601129]          | 153509     | Uniform         | 
235  | [601130, 603687]          | 153576     | Uniform         | 
236  | [603688, 606245]          | 152998     | Uniform         | 
237  | [606246, 608803]          | 153863     | Uniform         | 
238  | [608804, 611361]          | 153544     | Uniform         | 
239  | [611362, 613919]          | 153549     | Uniform         | 
240  | [613920, 616477]          | 153686     | Uniform         | 
241  | [616478, 619035]          | 153660     | Uniform         | 
242  | [619036, 621593]          | 153330     | Uniform         | 
243  | [621594, 624151]          | 153289     | Uniform         | 
244  | [624152, 626709]          | 152745     | Uniform         | 
245  | [626710, 629267]          | 153505     | Uniform         | 
246  | [629268, 631825]          | 153683     | Uniform         | 
247  | [631826, 634383]          | 153506     | Uniform         | 
248  | [634384, 636941]          | 153557     | Uniform         | 
249  | [636942, 639499]          | 153711     | Uniform         | 
250  | [639500, 642057]          | 153684     | Uniform         | 
251  | [642058, 644615]          | 153398     | Uniform         | 
252  | [644616, 647173]          | 153918     | Uniform         | 
253  | [647174, 649731]          | 153025     | Uniform         | 
254  | [649732, 652289]          | 153277     | Uniform         | 
255  | [652290, 654847]          | 153565     | Uniform         | 
256  | [654848, 657405]          | 153372     | Uniform         | 
257  | [657406, 659963]          | 153564     | Uniform         | 
258  | [659964, 662521]          | 154601     | Uniform         | 
259  | [662522, 665079]          | 153019     | Uniform         | 
260  | [665080, 667637]          | 153497     | Uniform         | 
261  | [667638, 670195]          | 153487     | Uniform         | 
262  | [670196, 672753]          | 152843     | Uniform         | 
263  | [672754, 675311]          | 153495     | Uniform         | 
264  | [675312, 677869]          | 153441     | Uniform         | 
265  | [677870, 680427]          | 153349     | Uniform         | 
266  | [680428, 682985]          | 153461     | Uniform         | 
267  | [682986, 685543]          | 153610     | Uniform         | 
268  | [685544, 688101]          | 153939     | Uniform         | 
269  | [688102, 690659]          | 154095     | Uniform         | 
270  | [690660, 693217]          | 152687     | Uniform         | 
271  | [693218, 695775]          | 153291     | Uniform         | 
272  | [695776, 698333]          | 153289     | Uniform         | 
273  | [698334, 700891]          | 153471     | Uniform         | 
274  | [700892, 703449]          | 153603     | Uniform         | 
275  | [703450, 706007]          | 152838     | Uniform         | 
276  | [706008, 708565]          | 153142     | Uniform         | 
277  | [708566, 711123]          | 152786     | Uniform         | 
278  | [711124, 713681]          | 153622     | Uniform         | 
279  | [713682, 716239]          | 153737     | Uniform         | 
280  | [716240, 718797]          | 153483     | Uniform         | 
281  | [718798, 721355]          | 153263     | Uniform         | 
282  | [721356, 723913]          | 153347     | Uniform         | 
283  | [723914, 726471]          | 153812     | Uniform         | 
284  | [726472, 729029]          | 153040     | Uniform         | 
285  | [729030, 731587]          | 153630     | Uniform         | 
286  | [731588, 734145]          | 153049     | Uniform         | 
287  | [734146, 736703]          | 153354     | Uniform         | 
288  | [736704, 739261]          | 153534     | Uniform         | 
289  | [739262, 741819]          | 153806     | Uniform         | 
290  | [741820, 744377]          | 153050     | Uniform         | 
291  | [744378, 746935]          | 152731     | Uniform         | 
292  | [746936, 749493]          | 153591     | Uniform         | 
293  | [749494, 752051]          | 153278     | Uniform         | 
294  | [752052, 754609]          | 152834     | Uniform         | 
295  | [754610, 757167]          | 153176     | Uniform         | 
296  | [757168, 759725]          | 153900     | Uniform         | 
297  | [759726, 762283]          | 153200     | Uniform         | 
298  | [762284, 764841]          | 153582     | Uniform         | 
299  | [764842, 767399]          | 153497     | Uniform         | 
300  | [767400, 769957]          | 153880     | Uniform         | 
301  | [769958, 772515]          | 153030     | Uniform         | 
302  | [772516, 775073]          | 154136     | Uniform         | 
303  | [775074, 777631]          | 154361     | Uniform         | 
304  | [777632, 780189]          | 154360     | Uniform         | 
305  | [780190, 782747]          | 153678     | Uniform         | 
306  | [782748, 785305]          | 153516     | Uniform         | 
307  | [785306, 787863]          | 153426     | Uniform         | 
308  | [787864, 790421]          | 154229     | Uniform         | 
309  | [790422, 792979]          | 153326     | Uniform         | 
310  | [792980, 795537]          | 153906     | Uniform         | 
311  | [795538, 798095]          | 154114     | Uniform         | 
312  | [798096, 800653]          | 153097     | Uniform         | 
313  | [800654, 803211]          | 153042     | Uniform         | 
314  | [803212, 805769]          | 153629     | Uniform         | 
315  | [805770, 808327]          | 154133     | Uniform         | 
316  | [808328, 810885]          | 152776     | Uniform         | 
317  | [810886, 813443]          | 152850     | Uniform         | 
318  | [813444, 816001]          | 153500     | Uniform         | 
319  | [816002, 818559]          | 153239     | Uniform         | 
320  | [818560, 821117]          | 153566     | Uniform         | 
321  | [821118, 823675]          | 153175     | Uniform         | 
322  | [823676, 826233]          | 153106     | Uniform         | 
323  | [826234, 828791]          | 153217     | Uniform         | 
324  | [828792, 831349]          | 153918     | Uniform         | 
325  | [831350, 833907]          | 153024     | Uniform         | 
326  | [833908, 836465]          | 153944     | Uniform         | 
327  | [836466, 839023]          | 153680     | Uniform         | 
328  | [839024, 841581]          | 153452     | Uniform         | 
329  | [841582, 844139]          | 153426     | Uniform         | 
330  | [844140, 846697]          | 152887     | Uniform         | 
331  | [846698, 849255]          | 153432     | Uniform         | 
332  | [849256, 851813]          | 153073     | Uniform         | 
333  | [851814, 854371]          | 153128     | Uniform         | 
334  | [854372, 856929]          | 154100     | Uniform         | 
335  | [856930, 859487]          | 153535     | Uniform         | 
336  | [859488, 862045]          | 153235     | Uniform         | 
337  | [862046, 864603]          | 153540     | Uniform         | 
338  | [864604, 867161]          | 153332     | Uniform         | 
339  | [867162, 869719]          | 152796     | Uniform         | 
340  | [869720, 872277]          | 153564     | Uniform         | 
341  | [872278, 874835]          | 153408     | Uniform         | 
342  | [874836, 877393]          | 153360     | Uniform         | 
343  | [877394, 879951]          | 153391     | Uniform         | 
344  | [879952, 882509]          | 153360     | Uniform         | 
345  | [882510, 885067]          | 152775     | Uniform         | 
346  | [885068, 887625]          | 154017     | Uniform         | 
347  | [887626, 890183]          | 153180     | Uniform         | 
348  | [890184, 892741]          | 153561     | Uniform         | 
349  | [892742, 895299]          | 154091     | Uniform         | 
350  | [895300, 897857]          | 152921     | Uniform         | 
351  | [897858, 900415]          | 153001     | Uniform         | 
352  | [900416, 902973]          | 153656     | Uniform         | 
353  | [902974, 905531]          | 153636     | Uniform         | 
354  | [905532, 908089]          | 153471     | Uniform         | 
355  | [908090, 910647]          | 153811     | Uniform         | 
356  | [910648, 913205]          | 153679     | Uniform         | 
357  | [913206, 915763]          | 153029     | Uniform         | 
358  | [915764, 918321]          | 153286     | Uniform         | 
359  | [918322, 920879]          | 153471     | Uniform         | 
360  | [920880, 923437]          | 153742     | Uniform         | 
361  | [923438, 925995]          | 153872     | Uniform         | 
362  | [925996, 928553]          | 153837     | Uniform         | 
363  | [928554, 931111]          | 153359     | Uniform         | 
364  | [931112, 933669]          | 153681     | Uniform         | 
365  | [933670, 936227]          | 153613     | Uniform         | 
366  | [936228, 938785]          | 152870     | Uniform         | 
367  | [938786, 941343]          | 153346     | Uniform         | 
368  | [941344, 943901]          | 153526     | Uniform         | 
369  | [943902, 946459]          | 153746     | Uniform         | 
370  | [946460, 949017]          | 153499     | Uniform         | 
371  | [949018, 951575]          | 153282     | Uniform         | 
372  | [951576, 954133]          | 153645     | Uniform         | 
373  | [954134, 956691]          | 153750     | Uniform         | 
374  | [956692, 959249]          | 152857     | Uniform         | 
375  | [959250, 961807]          | 152867     | Uniform         | 
376  | [961808, 964365]          | 153269     | Uniform         | 
377  | [964366, 966923]          | 153997     | Uniform         | 
378  | [966924, 969481]          | 153471     | Uniform         | 
379  | [969482, 972039]          | 153378     | Uniform         | 
380  | [972040, 974597]          | 152930     | Uniform         | 
