
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 150]                  | 8032909    | Fourier MLP     | Complex Neural Net
1    | [151, 301]                | 8600640    | Fourier MLP     | Complex Neural Net
2    | [302, 452]                | 8712774    | Fourier MLP     | Complex Neural Net
3    | [453, 603]                | 8770126    | Fourier MLP     | Complex Neural Net
4    | [604, 754]                | 8802777    | Fourier MLP     | Complex Neural Net
5    | [755, 905]                | 8834701    | Fourier MLP     | Complex Neural Net
6    | [906, 1056]               | 6036570    | Fourier MLP     | Complex Neural Net
7    | [1057, 1207]              | 423778     | Fourier MLP     | Complex Neural Net
8    | [1208, 1358]              | 221236     | Fourier MLP     | Complex Neural Net
9    | [1359, 1509]              | 150860     | Fourier MLP     | Complex Neural Net
10   | [1510, 1660]              | 112903     | Fourier MLP     | Complex Neural Net
11   | [1661, 1811]              | 89702      | Uniform         | 
12   | [1812, 1962]              | 72992      | Uniform         | 
13   | [1963, 2113]              | 61808      | Uniform         | 
14   | [2114, 2264]              | 53044      | Uniform         | 
15   | [2265, 2415]              | 46326      | Uniform         | 
16   | [2416, 2566]              | 41112      | Uniform         | 
17   | [2567, 2717]              | 36240      | Uniform         | 
18   | [2718, 2868]              | 32897      | Uniform         | 
19   | [2869, 3019]              | 29541      | Uniform         | 
20   | [3020, 3170]              | 27292      | Uniform         | 
21   | [3171, 3321]              | 24596      | Uniform         | 
22   | [3322, 3472]              | 22552      | Uniform         | 
23   | [3473, 3623]              | 21114      | Uniform         | 
24   | [3624, 3774]              | 19515      | Uniform         | 
25   | [3775, 3925]              | 17940      | Uniform         | 
26   | [3926, 4076]              | 17196      | Uniform         | 
27   | [4077, 4227]              | 15917      | Uniform         | 
28   | [4228, 4378]              | 15058      | Uniform         | 
29   | [4379, 4529]              | 14119      | Uniform         | 
30   | [4530, 4680]              | 13279      | Uniform         | 
31   | [4681, 4831]              | 12571      | Uniform         | 
32   | [4832, 4982]              | 11918      | Uniform         | 
33   | [4983, 5133]              | 11369      | Uniform         | 
34   | [5134, 5284]              | 10704      | Uniform         | 
35   | [5285, 5435]              | 10223      | Uniform         | 
36   | [5436, 5586]              | 9824       | Uniform         | 
37   | [5587, 5737]              | 9404       | Uniform         | 
38   | [5738, 5888]              | 8969       | Uniform         | 
39   | [5889, 6039]              | 8649       | Uniform         | 
40   | [6040, 6190]              | 8270       | Uniform         | 
41   | [6191, 6341]              | 7985       | Uniform         | 
42   | [6342, 6492]              | 7692       | Uniform         | 
43   | [6493, 6643]              | 7427       | Uniform         | 
44   | [6644, 6794]              | 7099       | Fourier MLP     | Complex Neural Net
45   | [6795, 6945]              | 6850       | Uniform         | 
46   | [6946, 7096]              | 6540       | Uniform         | 
47   | [7097, 7247]              | 6506       | Uniform         | 
48   | [7248, 7398]              | 6338       | Uniform         | 
49   | [7399, 7549]              | 5867       | Uniform         | 
50   | [7550, 7700]              | 5782       | Uniform         | 
51   | [7701, 7851]              | 5670       | Fourier MLP     | Complex Neural Net
52   | [7852, 8002]              | 5534       | Uniform         | 
53   | [8003, 8153]              | 5228       | Fourier MLP     | Complex Neural Net
54   | [8154, 8304]              | 5174       | Uniform         | 
55   | [8305, 8455]              | 4992       | Uniform         | 
56   | [8456, 8606]              | 4807       | Uniform         | 
57   | [8607, 8757]              | 4680       | Uniform         | 
58   | [8758, 8908]              | 4608       | Uniform         | 
59   | [8909, 9059]              | 4506       | Uniform         | 
60   | [9060, 9210]              | 4439       | Fourier MLP     | Complex Neural Net
61   | [9211, 9361]              | 4194       | Uniform         | 
62   | [9362, 9512]              | 4154       | Fourier MLP     | Complex Neural Net
63   | [9513, 9663]              | 4054       | Fourier MLP     | Complex Neural Net
64   | [9664, 9814]              | 3974       | Fourier MLP     | Complex Neural Net
65   | [9815, 9965]              | 3837       | Uniform         | 
66   | [9966, 10116]             | 3664       | Uniform         | 
67   | [10117, 10267]            | 3552       | Uniform         | 
68   | [10268, 10418]            | 3556       | Uniform         | 
69   | [10419, 10569]            | 3433       | Uniform         | 
70   | [10570, 10720]            | 3436       | Fourier MLP     | Complex Neural Net
71   | [10721, 10871]            | 3337       | Uniform         | 
72   | [10872, 11022]            | 3193       | Uniform         | 
73   | [11023, 11173]            | 3165       | Uniform         | 
74   | [11174, 11324]            | 3114       | Uniform         | 
75   | [11325, 11475]            | 2941       | Uniform         | 
76   | [11476, 11626]            | 2987       | Uniform         | 
77   | [11627, 11777]            | 3000       | Uniform         | 
78   | [11778, 11928]            | 2805       | Fourier MLP     | Complex Neural Net
79   | [11929, 12079]            | 2761       | Fourier MLP     | Complex Neural Net
80   | [12080, 12230]            | 2785       | Uniform         | 
81   | [12231, 12381]            | 2665       | Uniform         | 
82   | [12382, 12532]            | 2589       | Fourier MLP     | Complex Neural Net
83   | [12533, 12683]            | 2557       | Uniform         | 
84   | [12684, 12834]            | 2622       | Uniform         | 
85   | [12835, 12985]            | 2441       | Fourier MLP     | Complex Neural Net
86   | [12986, 13136]            | 2518       | Uniform         | 
87   | [13137, 13287]            | 2446       | Fourier MLP     | Complex Neural Net
88   | [13288, 13438]            | 2391       | Uniform         | 
89   | [13439, 13589]            | 2359       | Uniform         | 
90   | [13590, 13740]            | 2340       | Fourier MLP     | Complex Neural Net
91   | [13741, 13891]            | 2350       | Uniform         | 
92   | [13892, 14042]            | 2207       | Uniform         | 
93   | [14043, 14193]            | 2207       | Fourier MLP     | Complex Neural Net
94   | [14194, 14344]            | 2131       | Uniform         | 
95   | [14345, 14495]            | 2093       | Uniform         | 
96   | [14496, 14646]            | 2012       | Fourier MLP     | Complex Neural Net
97   | [14647, 14797]            | 2042       | Fourier MLP     | Complex Neural Net
98   | [14798, 14948]            | 2006       | Fourier MLP     | Complex Neural Net
99   | [14949, 15099]            | 1924       | Fourier MLP     | Complex Neural Net
100  | [15100, 15250]            | 1993       | Uniform         | 
101  | [15251, 15401]            | 1975       | Uniform         | 
102  | [15402, 15552]            | 1906       | Fourier MLP     | Complex Neural Net
103  | [15553, 15703]            | 1818       | Fourier MLP     | Complex Neural Net
104  | [15704, 15854]            | 1877       | Uniform         | 
105  | [15855, 16005]            | 1781       | Fourier MLP     | Complex Neural Net
106  | [16006, 16156]            | 1742       | Fourier MLP     | Complex Neural Net
107  | [16157, 16307]            | 1784       | Fourier MLP     | Complex Neural Net
108  | [16308, 16458]            | 1822       | Fourier MLP     | Complex Neural Net
109  | [16459, 16609]            | 1672       | Uniform         | 
110  | [16610, 16760]            | 1692       | Uniform         | 
111  | [16761, 16911]            | 1683       | Uniform         | 
112  | [16912, 17062]            | 1632       | Uniform         | 
113  | [17063, 17213]            | 1647       | Fourier MLP     | Complex Neural Net
114  | [17214, 17364]            | 1658       | Uniform         | 
115  | [17365, 17515]            | 1618       | Fourier MLP     | Complex Neural Net
116  | [17516, 17666]            | 1518       | Fourier MLP     | Complex Neural Net
117  | [17667, 17817]            | 1493       | Uniform         | 
118  | [17818, 17968]            | 1504       | Uniform         | 
119  | [17969, 18119]            | 1513       | Fourier MLP     | Complex Neural Net
120  | [18120, 18270]            | 1536       | Uniform         | 
121  | [18271, 18421]            | 1460       | Fourier MLP     | Complex Neural Net
122  | [18422, 18572]            | 1470       | Uniform         | 
123  | [18573, 18723]            | 1458       | Fourier MLP     | Complex Neural Net
124  | [18724, 18874]            | 1433       | Fourier MLP     | Complex Neural Net
125  | [18875, 19025]            | 1384       | Fourier MLP     | Complex Neural Net
126  | [19026, 19176]            | 1421       | Fourier MLP     | Complex Neural Net
127  | [19177, 19327]            | 1406       | Uniform         | 
128  | [19328, 19478]            | 1346       | Fourier MLP     | Complex Neural Net
129  | [19479, 19629]            | 1220       | Fourier MLP     | Complex Neural Net
130  | [19630, 19780]            | 1274       | Fourier MLP     | Complex Neural Net
131  | [19781, 19931]            | 1277       | Fourier MLP     | Complex Neural Net
132  | [19932, 20082]            | 1296       | Uniform         | 
133  | [20083, 20233]            | 1318       | Uniform         | 
134  | [20234, 20384]            | 1247       | Fourier MLP     | Complex Neural Net
135  | [20385, 20535]            | 1247       | Fourier MLP     | Complex Neural Net
136  | [20536, 20686]            | 1193       | Uniform         | 
137  | [20687, 20837]            | 1131       | Uniform         | 
138  | [20838, 20988]            | 1233       | Uniform         | 
139  | [20989, 21139]            | 1198       | Fourier MLP     | Complex Neural Net
140  | [21140, 21290]            | 1155       | Uniform         | 
141  | [21291, 21441]            | 1238       | Fourier MLP     | Complex Neural Net
142  | [21442, 21592]            | 1115       | Uniform         | 
143  | [21593, 21743]            | 1138       | Fourier MLP     | Complex Neural Net
144  | [21744, 21894]            | 1151       | Fourier MLP     | Complex Neural Net
145  | [21895, 22045]            | 1226       | Fourier MLP     | Complex Neural Net
146  | [22046, 22196]            | 1092       | Uniform         | 
147  | [22197, 22347]            | 1097       | Fourier MLP     | Complex Neural Net
148  | [22348, 22498]            | 1074       | Fourier MLP     | Complex Neural Net
149  | [22499, 22649]            | 1056       | Fourier MLP     | Complex Neural Net
150  | [22650, 22800]            | 1032       | Fourier MLP     | Complex Neural Net
151  | [22801, 22951]            | 1025       | Fourier MLP     | Complex Neural Net
152  | [22952, 23102]            | 989        | Fourier MLP     | Complex Neural Net
153  | [23103, 23253]            | 1028       | Fourier MLP     | Complex Neural Net
154  | [23254, 23404]            | 987        | Fourier MLP     | Complex Neural Net
155  | [23405, 23555]            | 945        | Fourier MLP     | Complex Neural Net
156  | [23556, 23706]            | 990        | Fourier MLP     | Complex Neural Net
157  | [23707, 23857]            | 943        | Uniform         | 
158  | [23858, 24008]            | 985        | Fourier MLP     | Complex Neural Net
159  | [24009, 24159]            | 954        | Uniform         | 
160  | [24160, 24310]            | 942        | Fourier MLP     | Complex Neural Net
161  | [24311, 24461]            | 949        | Uniform         | 
162  | [24462, 24612]            | 931        | Fourier MLP     | Complex Neural Net
163  | [24613, 24763]            | 872        | Fourier MLP     | Complex Neural Net
164  | [24764, 24914]            | 929        | Fourier MLP     | Complex Neural Net
165  | [24915, 25065]            | 889        | Fourier MLP     | Complex Neural Net
166  | [25066, 25216]            | 879        | Uniform         | 
167  | [25217, 25367]            | 875        | Fourier MLP     | Complex Neural Net
168  | [25368, 25518]            | 914        | Uniform         | 
169  | [25519, 25669]            | 866        | Fourier MLP     | Complex Neural Net
170  | [25670, 25820]            | 847        | Fourier MLP     | Complex Neural Net
171  | [25821, 25971]            | 877        | Fourier MLP     | Complex Neural Net
172  | [25972, 26122]            | 884        | Fourier MLP     | Complex Neural Net
173  | [26123, 26273]            | 851        | Fourier MLP     | Complex Neural Net
174  | [26274, 26424]            | 822        | Fourier MLP     | Complex Neural Net
175  | [26425, 26575]            | 849        | Fourier MLP     | Complex Neural Net
176  | [26576, 26726]            | 806        | Fourier MLP     | Complex Neural Net
177  | [26727, 26877]            | 836        | Uniform         | 
178  | [26878, 27028]            | 776        | Fourier MLP     | Complex Neural Net
179  | [27029, 27179]            | 804        | Fourier MLP     | Complex Neural Net
180  | [27180, 27330]            | 790        | Fourier MLP     | Complex Neural Net
181  | [27331, 27481]            | 762        | Fourier MLP     | Complex Neural Net
182  | [27482, 27632]            | 829        | Fourier MLP     | Complex Neural Net
183  | [27633, 27783]            | 755        | Fourier MLP     | Complex Neural Net
184  | [27784, 27934]            | 722        | Fourier MLP     | Complex Neural Net
185  | [27935, 28085]            | 775        | Fourier MLP     | Complex Neural Net
186  | [28086, 28236]            | 790        | Fourier MLP     | Complex Neural Net
187  | [28237, 28387]            | 758        | Fourier MLP     | Complex Neural Net
188  | [28388, 28538]            | 725        | Fourier MLP     | Complex Neural Net
189  | [28539, 28689]            | 735        | Fourier MLP     | Complex Neural Net
190  | [28690, 28840]            | 744        | Fourier MLP     | Complex Neural Net
191  | [28841, 28991]            | 714        | Fourier MLP     | Complex Neural Net
192  | [28992, 29142]            | 751        | Fourier MLP     | Complex Neural Net
193  | [29143, 29293]            | 705        | Fourier MLP     | Complex Neural Net
194  | [29294, 29444]            | 677        | Fourier MLP     | Complex Neural Net
195  | [29445, 29595]            | 681        | Fourier MLP     | Complex Neural Net
196  | [29596, 29746]            | 725        | Fourier MLP     | Complex Neural Net
197  | [29747, 29897]            | 676        | Fourier MLP     | Complex Neural Net
198  | [29898, 30048]            | 672        | Fourier MLP     | Complex Neural Net
199  | [30049, 30199]            | 655        | Fourier MLP     | Complex Neural Net
200  | [30200, 30350]            | 691        | Uniform         | 
201  | [30351, 30501]            | 653        | Fourier MLP     | Complex Neural Net
202  | [30502, 30652]            | 685        | Fourier MLP     | Complex Neural Net
203  | [30653, 30803]            | 654        | Fourier MLP     | Complex Neural Net
