
================================================================================
Idx  | Range                     | Count      | Model Type      | Stats
--------------------------------------------------------------------------------
0    | [0, 1150]                 | 82452      | Fourier MLP     | Complex Neural Net
1    | [1151, 2301]              | 1910       | Fourier MLP     | Complex Neural Net
2    | [2302, 3452]              | 1899       | Fourier MLP     | Complex Neural Net
3    | [3453, 4603]              | 1937       | Fourier MLP     | Complex Neural Net
4    | [4604, 5754]              | 1964       | Fourier MLP     | Complex Neural Net
5    | [5755, 6905]              | 2016       | Fourier MLP     | Complex Neural Net
6    | [6906, 8056]              | 2115       | Fourier MLP     | Complex Neural Net
7    | [8057, 9207]              | 2103       | Fourier MLP     | Complex Neural Net
8    | [9208, 10358]             | 2194       | Fourier MLP     | Complex Neural Net
9    | [10359, 11509]            | 2307       | Fourier MLP     | Complex Neural Net
10   | [11510, 12660]            | 2280       | Fourier MLP     | Complex Neural Net
11   | [12661, 13811]            | 2369       | Fourier MLP     | Complex Neural Net
12   | [13812, 14962]            | 2352       | Fourier MLP     | Complex Neural Net
13   | [14963, 16113]            | 2389       | Fourier MLP     | Complex Neural Net
14   | [16114, 17264]            | 2477       | Fourier MLP     | Complex Neural Net
15   | [17265, 18415]            | 2390       | Fourier MLP     | Complex Neural Net
16   | [18416, 19566]            | 2531       | Fourier MLP     | Complex Neural Net
17   | [19567, 20717]            | 2578       | Fourier MLP     | Complex Neural Net
18   | [20718, 21868]            | 2720       | Fourier MLP     | Complex Neural Net
19   | [21869, 23019]            | 2751       | Fourier MLP     | Complex Neural Net
20   | [23020, 24170]            | 2790       | Fourier MLP     | Complex Neural Net
21   | [24171, 25321]            | 2804       | Fourier MLP     | Complex Neural Net
22   | [25322, 26472]            | 2860       | Fourier MLP     | Complex Neural Net
23   | [26473, 27623]            | 2939       | Fourier MLP     | Complex Neural Net
24   | [27624, 28774]            | 3009       | Fourier MLP     | Complex Neural Net
25   | [28775, 29925]            | 2998       | Fourier MLP     | Complex Neural Net
26   | [29926, 31076]            | 3144       | Fourier MLP     | Complex Neural Net
27   | [31077, 32227]            | 3148       | Fourier MLP     | Complex Neural Net
28   | [32228, 33378]            | 3213       | Fourier MLP     | Complex Neural Net
29   | [33379, 34529]            | 3256       | Fourier MLP     | Complex Neural Net
30   | [34530, 35680]            | 3296       | Fourier MLP     | Complex Neural Net
31   | [35681, 36831]            | 3466       | Fourier MLP     | Complex Neural Net
32   | [36832, 37982]            | 3536       | Fourier MLP     | Complex Neural Net
33   | [37983, 39133]            | 3650       | Fourier MLP     | Complex Neural Net
34   | [39134, 40284]            | 3562       | Fourier MLP     | Complex Neural Net
35   | [40285, 41435]            | 3846       | Fourier MLP     | Complex Neural Net
36   | [41436, 42586]            | 3782       | Fourier MLP     | Complex Neural Net
37   | [42587, 43737]            | 3924       | Fourier MLP     | Complex Neural Net
38   | [43738, 44888]            | 3936       | Fourier MLP     | Complex Neural Net
39   | [44889, 46039]            | 3976       | Fourier MLP     | Complex Neural Net
40   | [46040, 47190]            | 4060       | Fourier MLP     | Complex Neural Net
41   | [47191, 48341]            | 4201       | Fourier MLP     | Complex Neural Net
42   | [48342, 49492]            | 4264       | Fourier MLP     | Complex Neural Net
43   | [49493, 50643]            | 4385       | Fourier MLP     | Complex Neural Net
